code,name
1,Public limited company (SA)
2,Limited Liability Company (SARL)
3,Individual Company (EI)
4,Cooperative
5,Collective Name Company (SNC)
6,Professional Civil Society (SCP)
7,Simplified Public Limited Company (SAS)
8,Public Company (EP)
9,Autonomous Authority (RA)
10,Limited Partnership (SCS)
11,Limited Partnership by Share (SCA)
12,Civil and Real Estate Society (SCI)
13,Economic Interest Group (GIE)
14,De facto or Participation Company (SFP)
15,Permanent Establishment of Non-Resident Companies
16,Limited Liability Company A Sole Shareholder (SARL AU)
20,Other
