influencing_tax_ident,influenced_tax_ident,rel_type_code,percentage,valid_from,valid_to
2407020166,2812760140,ownership,40,2023-01-01,2023-12-31
2407020166,2812760140,ownership,60,2024-01-01,2024-12-31
2407020166,2812760140,ownership,60,2025-01-01,infinity
2407020166,2602025168,control,100,2023-01-01,2023-12-31
2407020166,2602025168,control,100,2024-01-01,2024-12-31
2407020166,2602025168,control,100,2025-01-01,infinity
397611,397622,ownership,34,2023-01-01,2023-12-31
397611,397622,ownership,51,2024-01-01,2024-12-31
397611,397622,ownership,51,2025-01-01,infinity
2612760138,2507020167,ownership,75,2024-01-01,2024-12-31
2612760138,2507020167,ownership,75,2025-01-01,infinity
2200019,3300598,control,80,2023-01-01,2023-12-31
2200019,3300598,control,80,2024-01-01,2024-12-31
2200019,3300598,control,50,2025-01-01,infinity
