tax_ident,stat_ident,name,valid_from,physical_address_part1,valid_to,postal_address_part1,postal_address_part2,physical_address_part2,physical_postcode,postal_postcode,physical_address_part3,physical_postplace,postal_address_part3,postal_postplace,phone_number,landline,mobile_number,fax_number,web_address,email_address,secondary_activity_category_code,physical_latitude,physical_longitude,physical_altitude,birth_date,physical_region_code,postal_country_iso_2,physical_country_iso_2,primary_activity_category_code,legal_form_code,sector_code,employees,turnover,data_source_code,status_code,unit_size_code
2312760075,6,ZEBRA HAVEN SAFARIS,2023-01-01,Safari Park 67,2023-12-31,Safari Park 67,PO Box 345,South,8035,8035,Kampala,Kampala Central,Kampala,Kampala Central,2251789012,1789,113279,6784560,www.zebrahaven.com,contact@adress.ug,1410,64,16,40,01.08.2022,225602,UG,UG,1410,1,4500,23,20023,nlr,active,tny
2312760075,6,ZEBRA HAVEN SAFARIS,2024-01-01,Safari Park 67,2024-12-31,Safari Park 67,PO Box 345,South,8035,8035,Kampala,Kampala Central,Kampala,Kampala Central,2251789012,1789,113279,6784560,www.zebrahaven.com,contact@adress.ug,1410,64,16,40,01.08.2022,225602,UG,UG,1410,1,4500,24,20024,nlr,active,tny
2312760075,6,ZEBRA HAVEN SAFARIS,2025-01-01,Safari Park 67,infinity,Safari Park 67,PO Box 345,South,8035,8035,Kampala,Kampala Central,Kampala,Kampala Central,2251789012,1789,113279,6784560,www.zebrahaven.com,contact@adress.ug,1410,64,16,40,01.08.2022,225602,UG,UG,1410,1,4500,25,20025,nlr,active,tny
2507020167,12,VICTORIA FRESH FARMS,2023-01-01,Farm Lane 56,2023-12-31,Farm Lane 56,PO Box 890,Central,803,803,Jinja,Jinja Place,Jinja,Jinja Place,22510234567,10234,113279,12333333,www.victoriafresh.com,contact@adress.ug,0123,69,21,50,01.01.2015,225602,UG,UG,0123,1,6100,23,20023,nlr,active,sml
2507020167,12,VICTORIA FRESH FARMS,2024-01-01,Farm Lane 56,2024-12-31,Farm Lane 56,PO Box 890,Central,803,803,Jinja,Jinja Place,Jinja,Jinja Place,22510234567,10234,113279,12333333,www.victoriafresh.com,contact@adress.ug,0123,69,21,50,01.01.2015,225602,UG,UG,0123,1,6100,24,20024,nlr,active,sml
2507020167,12,VICTORIA FRESH FARMS,2025-01-01,Farm Lane 56,infinity,Farm Lane 56,PO Box 890,Central,803,803,Jinja,Jinja Place,Jinja,Jinja Place,22510234567,10234,113279,12333333,www.victoriafresh.com,contact@adress.ug,0123,69,21,50,01.01.2015,225602,UG,UG,0123,1,6100,25,20025,nlr,active,sml
2220794,17,The Office Corp,2023-01-01,Office St 90,2023-12-31,Office St 90,PO Box 901,Castle,8035,8035,Gothenburg,Gothenburg,Gothenburg,Gothenburg,46345678901,46345,113279,6789988,www.officecorp.se,contact@adress.se,8211,74,26,60,01.11.1924,104601,SE,SE,8211,1,6500,23,20023,nlr,active,lrg
2220794,17,The Office Corp,2024-01-01,Office St 90,2024-12-31,Office St 90,PO Box 901,Castle,8035,8035,Gothenburg,Gothenburg,Gothenburg,Gothenburg,46345678901,46345,113279,6789988,www.officecorp.se,contact@adress.se,8211,74,26,60,01.11.1924,104601,SE,SE,8211,1,6500,24,20024,nlr,active,lrg
2220794,17,The Office Corp,2025-01-01,Office St 90,infinity,Office St 90,PO Box 901,Castle,8035,8035,Gothenburg,Gothenburg,Gothenburg,Gothenburg,46345678901,46345,113279,6789988,www.officecorp.se,contact@adress.se,8211,74,26,60,01.11.1924,104601,SE,SE,8211,1,6500,25,20025,nlr,active,lrg
5340521,16,Stockholm Trade,2023-01-01,Trade Center 78,2023-12-31,Trade Center 78,PO Box 890,Central,8035,8035,Stockholm,Djurgaarden,Stockholm,Djurgaarden,46234567890,46234,113279,5677777,www.stockholmtrade.se,contact@adress.se,7410,73,25,58,01.11.1924,104601,SE,SE,7410,1,6100,23,20023,nlr,active,lrg
