"A.01","Crop and animal production, hunting and related service activities","### NACE Code: 01

#### Includes:
This division includes two basic activities, namely the production of crop products and production of animal products. 

Group 01.5 Mixed farming breaks with the usual principles for identifying main activity. It accepts that many agricultural units have reasonably balanced crop and animal production, and that it would be arbitrary to classify them in one category or the other.

This division includes the soilless cultivation of crops, e.g. using hydroponics and aquaponics methods.

#### Includes Also:
This division also includes service activities incidental to agriculture, as well as hunting, trapping and related activities.

#### Excludes:
Agricultural activities exclude any subsequent processing of the agricultural products (classified under divisions 10, 11 and 12), beyond that needed to prepare them for the primary markets. The preparation of products for the primary markets is included here.

The division excludes field construction (e.g. agricultural land terracing, drainage, preparing rice paddies) classified in section F and buyers and cooperative associations engaged in the marketing of farm products classified in section G. Also excluded are landscape service activities, which are classified in class 81.30."
"A.01.1","Growing of non-perennial crops","### NACE Code: 01.1

#### Includes:
This group includes the growing of non-perennial crops, i.e. plants that do not last for more than two growing seasons. Included is the growing of these plants for the purpose of seed production."
"A.01.1.1","Growing of cereals, other than rice, leguminous crops and oil seeds","### NACE Code: 01.11

#### Includes:
This class includes all forms of growing of cereals, leguminous crops and oil seeds. Includes the growing of these plants for the purpose of seed production. The growing of these crops is often combined within agricultural units.

This class includes:
- growing of cereals, e.g.:
  • wheat
  • grain maize
  • sorghum
  • barley
  • rye
  • oats
  • millets
  • pseudocereals, fruits or seeds - used as cereals, e.g.:
    • quinoa
    • amaranth
    • chia
- growing of leguminous crops, e.g.:
  • beans
  • broad beans
  • chick peas
  • cow peas
  • lentils
  • lupines
  • peas
  • pigeon peas
- growing of oil seeds, e.g.:
  • soya beans
  • groundnuts
  • castor bean
  • linseed
  • mustard seed
  • niger seed
  • rapeseed
  • safflower seed
  • sesame seed
  • sunflower seed

#### Excludes:
This class excludes:
- growing of rice, see 01.12
- growing of sweet corn, see 01.13
- growing of maize, lupines, kale for fodder, see 01.19
- growing of oleaginous fruits, see 01.26"
"A.01.1.2","Growing of rice","### NACE Code: 01.12

#### Includes:
This class includes:
- growing of rice"
"A.01.1.3","Growing of vegetables and melons, roots and tubers","### NACE Code: 01.13

#### Includes:
This class includes:
- growing of leafy or stem vegetables, e.g.:
  • artichokes
  • asparagus
  • cabbages
  • cauliflower and broccoli
  • lettuce and chicory
  • spinach
- growing of fruit bearing vegetables, e.g.:
  • cucumbers and gherkins
  • eggplants (aubergines)
  • tomatoes
  • watermelons
- growing of root, bulb or tuberous vegetables, e.g.:
  • carrots
  • turnips
  • garlic
  • onions (incl. shallots)
  • leeks and other alliaceous vegetables
- growing of mushrooms and truffles
- growing of vegetable seeds, including sugar beet seeds, excluding other beet seeds
- growing of sugar beet
- growing of chillies, peppers (Capsicum spp.)
- growing of roots and tubers, e.g.:
  • potatoes
  • sweet potatoes
  • cassava
  • yams
  • swedes and mangolds

#### Includes Also:
This class also includes:
- growing of sweet corn

#### Excludes:
This class excludes:
- spices and aromatic crops, see 01.28 
- growing of mushroom spawn, see 01.30"
"A.01.1.4","Growing of sugar cane","### NACE Code: 01.14

#### Excludes:
This class excludes:
- growing of sugar beet, see 01.13"
"A.01.1.5","Growing of tobacco","### NACE Code: 01.15

#### Includes:
This class includes:
- growing of unmanufactured tobacco

#### Excludes:
This class excludes:
- manufacture of tobacco products, see 12.00"
"A.01.1.6","Growing of fibre crops","### NACE Code: 01.16

#### Includes:
This class includes growing of fibre crops, e.g.:
- growing of cotton
- growing of jute, kenaf and other textile bast fibres
- growing of flax and hemp
- growing of sisal and other textile fibre of the genus agave
- growing of abaca, ramie and other vegetable textile fibres"
"A.01.1.9","Growing of other non-perennial crops","### NACE Code: 01.19

#### Includes:
This class includes the growing of all other non-perennial crops, e.g.:
- growing of clover, alfalfa, sainfoin, maize, lupines, other grasses, fodder kale and similar crops forage products 
- growing of beet seeds and seeds of forage plants
- growing of flowers
- production of cut flowers and flower buds
- growing of flower seeds

#### Excludes:
This class excludes:
- growing of sugar beet seeds, see 01.13
- growing of non-perennial spices, aromatic, drug and pharmaceutical crops, see 01.28"
"A.01.2","Growing of perennial crops","### NACE Code: 01.2

#### Includes:
This group includes the growing of perennial crops, i.e. plants that lasts for more than two growing seasons, either dying back after each season or growing continuously. Included is the growing of these plants for the purpose of seed production."
