path,name
03,Oslo
11,Rogaland
15,Møre og Romsdal
18,Nordland
30,Viken
34,Innlandet
38,Vestfold og Telemark
42,Agder
46,Vestland
50,Trøndelag - Trööndelage
54,Troms og Finnmark - Romsa ja Finnm�rku
99,Uoppgitt
21,Svalbard
0,Utlandet
03.01,Oslo
11.01,Eigersund
11.03,Stavanger
11.06,Haugesund
11.08,Sandnes
11.11,Sokndal
11.12,Lund
11.14,Bjerkreim
11.19,Hå
11.20,Klepp
11.21,Time
11.22,Gjesdal
11.24,Sola
11.27,Randaberg
11.30,Strand
11.33,Hjelmeland
11.34,Suldal
11.35,Sauda
11.44,Kvitsøy
11.45,Bokn
11.46,Tysvær
11.49,Karmøy
11.51,Utsira
11.60,Vindafjord
15.05,Kristiansund
15.06,Molde
15.07,Ålesund
15.11,Vanylven
15.14,Sande
15.15,Herøy (Møre og Romsdal)
15.16,Ulstein
15.17,Hareid
15.20,Ørsta
15.25,Stranda
15.28,Sykkylven
15.31,Sula
15.32,Giske
15.35,Vestnes
15.39,Rauma
15.47,Aukra
15.54,Averøy
15.57,Gjemnes
15.60,Tingvoll
15.63,Sunndal
15.66,Surnadal
15.73,Smøla
15.76,Aure
15.77,Volda
15.78,Fjord
15.79,Hustadvika
18.04,Bodø
18.06,Narvik
18.11,Bindal
18.12,Sømna
18.13,Brønnøy
18.15,Vega
18.16,Vevelstad
18.18,Herøy (Nordland)
18.20,Alstahaug
18.22,Leirfjord
18.24,Vefsn
18.25,Grane
18.26,Aarborte - Hattfjelldal
18.27,Dønna
18.28,Nesna
18.32,Hemnes
18.33,Rana
18.34,Lurøy
18.35,Træna
18.36,Rødøy
18.37,Meløy
18.38,Gildeskål
18.39,Beiarn
18.40,Saltdal
18.41,Fauske - Fuossko
18.45,Sørfold
18.48,Steigen
18.51,Lødingen
18.53,Evenes
18.56,Røst
18.57,Værøy
18.59,Flakstad
18.60,Vestvågøy
18.65,Vågan
18.66,Hadsel
18.67,Bø
18.68,Øksnes
18.70,Sortland
18.71,Andøy
18.74,Moskenes
18.75,Hamarøy - Hábmer
30.01,Halden
30.02,Moss
30.03,Sarpsborg
30.04,Fredrikstad
30.05,Drammen
30.06,Kongsberg
30.07,Ringerike
30.11,Hvaler
30.12,Aremark
30.13,Marker
30.14,Indre Østfold
30.15,Skiptvet
30.16,Rakkestad
30.17,Råde
30.18,Våler (Viken)
30.19,Vestby
30.20,Nordre Follo
30.21,Ås
30.22,Frogn
30.23,Nesodden
30.24,Bærum
30.25,Asker
30.26,Aurskog-Høland
30.27,Rælingen
30.28,Enebakk
30.29,Lørenskog
30.30,Lillestrøm
30.31,Nittedal
30.32,Gjerdrum
30.33,Ullensaker
30.34,Nes
30.35,Eidsvoll
30.36,Nannestad
30.37,Hurdal
30.38,Hole
30.39,Flå
30.40,Nesbyen
30.41,Gol
30.42,Hemsedal
30.43,Ål
30.44,Hol
30.45,Sigdal
30.46,Krødsherad
30.47,Modum
30.48,Øvre Eiker
30.49,Lier
30.50,Flesberg
30.51,Rollag
30.52,Nore og Uvdal
30.53,Jevnaker
30.54,Lunner
34.01,Kongsvinger
34.03,Hamar
34.05,Lillehammer
34.07,Gjøvik
34.11,Ringsaker
34.12,Løten
34.13,Stange
34.14,Nord-Odal
34.15,Sør-Odal
34.16,Eidskog
34.17,Grue
34.18,Åsnes
34.19,Våler (Innlandet)
34.20,Elverum
34.21,Trysil
34.22,Åmot
34.23,Stor-Elvdal
34.24,Rendalen
34.25,Engerdal
34.26,Tolga
34.27,Tynset
34.28,Alvdal
34.29,Folldal
34.30,Os
34.31,Dovre
34.32,Lesja
34.33,Skjåk
34.34,Lom
34.35,Vågå
34.36,Nord-Fron
34.37,Sel
34.38,Sør-Fron
34.39,Ringebu
34.40,Øyer
34.41,Gausdal
34.42,Østre Toten
34.43,Vestre Toten
34.46,Gran
34.47,Søndre Land
34.48,Nordre Land
34.49,Sør-Aurdal
34.50,Etnedal
34.51,Nord-Aurdal
34.52,Vestre Slidre
34.53,Øystre Slidre
34.54,Vang
38.01,Horten
38.02,Holmestrand
38.03,Tønsberg
38.04,Sandefjord
38.05,Larvik
38.06,Porsgrunn
38.07,Skien
38.08,Notodden
38.11,Færder
38.12,Siljan
38.13,Bamble
38.14,Kragerø
38.15,Drangedal
38.16,Nome
38.17,Midt-Telemark
38.18,Tinn
38.19,Hjartdal
38.20,Seljord
38.21,Kviteseid
38.22,Nissedal
38.23,Fyresdal
38.24,Tokke
