"path","name","description"
"A","Jordbruk, skogbruk og fiske","### Shortname: Jordbruk, skogbruk og fiske

### Notes:
Inkluderer: Omfatter bruken av planteressursene og de animalske ressursene, inkludert aktiviteter i forbindelse med dyrking av vekster, husdyrhold og -avl, produksjon av tømmer og høsting/utnyttelse av andre planter, dyr og animalske produkter fra en gård eller fra naturen"
"A.01","Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell","### Shortname: Jordbruk, tilhør. tjenester, jakt

### Notes:
Inkluderer: Denne næringen omfatter to basisaktiviteter: produksjon av vegetabilske og animalske produkter, jordbruk, dyrking av genetisk modifiserte vekster og oppdrett av genetisk modifiserte dyr. Både dyrking av vekster på friland og i veksthus inngår Inkluderer også: Omfatter også tjenester tilknyttet jordbruk, jakt og fangst Ekskluderer: Grunnarbeid, f.eks. anlegg av jordterrasser, drenering o.l. grupperes under næringshovedområde: F Bygge- og anleggsvirksomhet. Kjøpere og andelslag engasjert i markedsføring av jordbruksprodukter grupperes under næringshovedområde: G Varehandel, reparasjon av motorvogner. Stell og vedlikehold av landskap grupperes under: 81.30 Beplantning av hager og parkanlegg"
"A.01.1","Dyrking av ettårige vekster","### Shortname: Dyrking av ettårige vekster

### Notes:
Inkluderer: Omfatter dyrking av ettårige vekster, dvs. planter som ikke varer i mer enn to vekstsesonger Inkluderer også: Omfatter også dyrking av ettårige vekster med henblikk på produksjon av såfrø og såkorn"
"A.01.1.1","Dyrking av korn (unntatt ris), belgvekster og oljeholdige vekster","### Shortname: Dyrking av korn, belgvekster mv.

### Notes:
Inkluderer: Omfatter dyrking av korn: hvete, mais, durra, bygg, rug, havre, hirse og andre kornsorter ikke nevnt annet sted, belgvekster: bønner, hestebønner, kikkerter, kuerter, linser, lupiner, erter, ertebønner og andre belgvekster, oljeholdige vekster: soyabønner, jordnøtter, bomullsfrø, kastorbønner, linfrø, sennepsfrø, nigerfrø, rapsfrø, saflorfrø, sesamfrø, solsikkefrø og andre oljeholdige frø Ekskluderer: Dyrking av ris grupperes under: 01.12 Dyrking av ris. Dyrking av sukkermais grupperes under: 01.13 Dyrking av grønnsaker, meloner, rot- og knollvekster. Dyrking av fôrmais grupperes under: 01.19 Dyrking av ettårige vekster ellers. Dyrking av oljeholdige frukter grupperes under: 01.26 Dyrking av oljeholdige frukter"
"A.01.1.1.0","Dyrking av korn (unntatt ris), belgvekster og oljeholdige vekster","### Shortname: Dyrking av korn, belgvekster mv.

### Notes:
Inkluderer: Omfatter dyrking av korn: hvete, mais, durra, bygg, rug, havre, hirse og andre kornsorter ikke nevnt annet sted, belgvekster: bønner, hestebønner, kikkerter, kuerter, linser, lupiner, erter, ertebønner og andre belgvekster, oljeholdige vekster: soyabønner, jordnøtter, og bomullsfrø, kastorbønner, linfrø, sennepsfrø, nigerfrø, rapsfrø, saflorfrø, sesamfrø, solsikkefrø og andre oljeholdige frø Ekskluderer: Dyrking av ris grupperes under: 01.12 Dyrking av ris. Dyrking av sukkermais grupperes under: 01.13 Dyrking av grønnsaker, meloner, rot- og knollvekster. Dyrking av fôrmais grupperes under: 01.19 Dyrking av ettårige vekster ellers. Dyrking av oljeholdige frukter grupperes under: 01.26 Dyrking av oljeholdige frukter"
"A.01.1.2","Dyrking av ris","### Shortname: Dyrking av ris"
"A.01.1.2.0","Dyrking av ris","### Shortname: Dyrking av ris"
"A.01.1.3","Dyrking av grønnsaker, meloner, rot- og knollvekster","### Shortname: Dyrking av grønnsaker, poteter mv.

### Notes:
Inkluderer: Omfatter dyrking av: artisjokker, asparges, kål, blomkål, broccoli, salat, sikori, spinat og andre bladgrønnsaker eller stilkgrønnsaker, agurker, sylteagurker, auberginer, tomater, vannmeloner, andre meloner og andre fruktbærende grønnsaker, gulerøtter, matnepe, hvitløk, løk, sjalottløk, purre, andre alliumarter og andre rot-, løk- og knollgrønnsaker, sopp og trøfler, grønnsakfrø og sukkerroefrø, sukkerroer, andre grønnsaker, poteter, søtpoteter, maniok, yam og andre røtter og rotknoller. Ekskluderer: Dyrking av chilipepper, pepperfrukter og andre krydderplanter og aromaplanter grupperes under: 01.28 Dyrking av krydder og aromatiske, medisinske og farmasøytiske vekster. Dyrking av soppmycel til formering grupperes under: 01.30 Planteformering"
"A.01.1.3.0","Dyrking av grønnsaker, meloner, rot- og knollvekster","### Shortname: Dyrking av grønnsaker, poteter mv.

### Notes:
Inkluderer: Omfatter dyrking av: artisjokker, asparges, kål, blomkål, broccoli, salat, sikori, spinat og andre bladgrønnsaker eller stilkgrønnsaker, agurker, sylteagurker, auberginer, tomater, vannmeloner, andre meloner og andre fruktbærende grønnsaker, gulerøtter, matnepe, hvitløk, løk, sjalottløk, purre, andre alliumarter og andre rot-, løk- og knollgrønnsaker, sopp og trøfler, grønnsakfrø og sukkerroefrø, sukkerroer, andre grønnsaker, poteter, søtpoteter, maniok, yam og andre røtter og rotknoller. Ekskluderer: Dyrking av chilipepper, pepperfrukter og andre krydderplanter og aromaplanter grupperes under: 01.28 Dyrking av krydder og aromatiske, medisinske og farmasøytiske vekster. Dyrking av soppmycel til formering grupperes under: 01.30 Planteformering"
"A.01.1.4","Dyrking av sukkerrør","### Shortname: Dyrking av sukkerrør

### Notes:
Ekskluderer: Dyrking av sukkerroer grupperes under: 01.13 Dyrking av grønnsaker, meloner, rot- og knollvekster"
"A.01.1.4.0","Dyrking av sukkerrør","### Shortname: Dyrking av sukkerrør

### Notes:
Ekskluderer: Dyrking av sukkerroer grupperes under: 01.13 Dyrking av grønnsaker, meloner, rot- og knollvekster"
"A.01.1.5","Dyrking av tobakk","### Shortname: Dyrking av tobakk

### Notes:
Ekskluderer: Produksjon av tobakksvarer grupperes under: 12 Produksjon av tobakksvarer"
"A.01.1.5.0","Dyrking av tobakk","### Shortname: Dyrking av tobakk

### Notes:
Ekskluderer: Produksjon av tobakksvarer grupperes under: 12 Produksjon av tobakksvarer"
"A.01.1.6","Dyrking av fibervekster","### Shortname: Dyrking av fibervekster

### Notes:
Inkluderer: Omfatter dyrking av bomull, jute, kenaf og andre stengelfibrer, lin, hamp, sisal og andre agavefibrer, abaca, ramie, andre tekstil- fiberplanter og andre fibervekster"
"A.01.1.6.0","Dyrking av fibervekster","### Shortname: Dyrking av fibervekster

### Notes:
Inkluderer: Omfatter dyrking av bomull, jute, kenaf og andre stengelfibrer, lin, hamp, sisal og andre agavefibrer, abaca, ramie, andre tekstil- fiberplanter og andre fibervekster"
"A.01.1.9","Dyrking av ettårige vekster ellers","### Shortname: Dyrking av ettårige vekster ellers

### Notes:
Inkluderer: Omfatter alle andre ettårige vekster som: -matkålrot, fôrrøtter, kløver, luserne, fôresparsette, fôrmais og annet gress, fôrkål, o.l. fôrplanter, -bokhvete, -roefrø, unntatt sukkerroefrø, og frø fra fôrplanter, -blomster, snittblomster, blomsterløk og blomsterfrø Ekskluderer: Dyrking av ettårige kryddervekster, aromatiske og farmasøytiske vekster grupperes under: 01.28 Dyrking av krydder og aromatiske, medisinske og farmasøytiske vekster"
"A.01.1.9.0","Dyrking av ettårige vekster ellers","### Shortname: Dyrking av ettårige vekster ellers

### Notes:
Inkluderer: Omfatter alle andre ettårige vekster som: -matkålrot, fôrrøtter, kløver, lucerne, fôresparsette, fôrmais og annet gress, fôrkål, o.l. fôrplanter, -bokhvete, -roefrø, unntatt sukkerroefrø, og frø fra fôrplanter, -blomster, snittblomster, blomsterløk og blomsterfrø Ekskluderer: Dyrking av ettårige kryddervekster, aromatiske og farmasøytiske vekster grupperes under: 01.28 Dyrking av krydder og aromatiske, medisinske og farmasøytiske vekster"
"A.01.2","Dyrking av flerårige vekster","### Shortname: Dyrking av flerårige vekster

### Notes:
Inkluderer: Omfatter dyrking av flerårige vekster, dvs. planter som varer i mer enn to vekstsesonger og enten dør etter hver vekstsesong og vokser fram igjen eller vokser konstant. Omfatter dyrking av slike planter med henblikk på produksjon av såfrø"
"A.01.2.1","Dyrking av druer","### Shortname: Dyrking av druer

### Notes:
Inkluderer: Omfatter dyrking av vindruer og spisedruer i vingårder Ekskluderer: Produksjon av vin grupperes under: 11.02 Produksjon av vin"
"A.01.2.1.0","Dyrking av druer","### Shortname: Dyrking av druer

### Notes:
Inkluderer: Omfatter dyrking av vindruer og spisedruer i vingårder Ekskluderer: Produksjon av vin grupperes under: 11.02 Produksjon av vin"
"A.01.2.2","Dyrking av tropiske og subtropiske frukter","### Shortname: Dyrking av trop./subtrop. frukter

### Notes:
Inkluderer: Omfatter dyrking av avocadoer, bananer og pisangbananer, dadler, fikener, mango, papaja, ananas og andre tropiske og subtropiske frukter"
"A.01.2.2.0","Dyrking av tropiske og subtropiske frukter","### Shortname: Dyrking av trop./subtrop. frukter

### Notes:
Inkluderer: Omfatter dyrking av avocadoer, bananer og pisangbananer, dadler, fikener, mango, papaja, ananas og andre tropiske og subtropiske frukter"
"A.01.2.3","Dyrking av sitrusfrukter","### Shortname: Dyrking av sitrusfrukter

### Notes:
Inkluderer: Omfatter dyrking av grapefrukt, pompelmus, sitroner, limefrukter, appelsiner, tangeriner, mandariner, klementiner og andre sitrusfrukter"
"A.01.2.3.0","Dyrking av sitrusfrukter","### Shortname: Dyrking av sitrusfrukter

### Notes:
Inkluderer: Omfatter dyrking av grapefrukt, pompelmus, sitroner, limefrukter, appelsiner, tangeriner, mandariner, klementiner og andre sitrusfrukter"
"A.01.2.4","Dyrking av kjernefrukter og steinfrukter","### Shortname: Dyrking av kjerne- og steinfrukter

### Notes:
Inkluderer: Omfatter dyrking av epler, aprikoser, kirsebær, surkirsebær, ferskener, nektariner, pærer, plommer og andre kjernefrukter og steinfrukter"
"A.01.2.4.0","Dyrking av kjernefrukter og steinfrukter","### Shortname: Dyrking av kjerne- og steinfrukter

### Notes:
Inkluderer: Omfatter dyrking av epler, aprikoser, kirsebær, surkirsebær, ferskener, nektariner, pærer, plommer og andre kjernefrukter og steinfrukter"
"A.01.2.5","Dyrking av annen frukt som vokser på trær eller busker samt nøtter","### Shortname: Dyrking av bær og nøtter mv.

### Notes:
Inkluderer: Omfatter dyrking av blåbær, rips, solbær, stikkelsbær, kiwifrukter, bringebær, jordbær og andre bær, mandler, cashewnøtter, kastanjer, hasselnøtter, pistasjenøtter, valnøtter, og andre nøtter, annen frukt som vokser på trær eller busker, f.eks., johannesbrød Ekskluderer: Dyrking av kokosnøtter grupperes under: 01.26 Dyrking av oljeholdige frukter"
"A.01.2.5.0","Dyrking av annen frukt som vokser på trær eller busker samt nøtter","### Shortname: Dyrking av bær og nøtter mv.

### Notes:
Inkluderer: Omfatter dyrking av blåbær, rips, solbær, stikkelsbær, kiwifrukter, bringebær, jordbær og andre bær, mandler, cashewnøtter, kastanjer, hasselnøtter, pistasjenøtter, valnøtter, og andre nøtter, annen frukt som vokser på trær eller busker, f.eks., johannesbrød Ekskluderer: Dyrking av kokosnøtter grupperes under: 01.26 Dyrking av oljeholdige frukter"
"A.01.2.6","Dyrking av oljeholdige frukter","### Shortname: Dyrking av oljeholdige frukter

### Notes:
Inkluderer: Omfatter dyrking av kokosnøtter, oliven, oljepalmer og andre oljeholdige frukter Ekskluderer: Dyrking av soyabønner, jordnøtter og andre oljeholdige frø grupperes under: 01.11 Dyrking av korn (unntatt ris), belgvekster og oljeholdige vekster"
"A.01.2.6.0","Dyrking av oljeholdige frukter","### Shortname: Dyrking av oljeholdige frukter

### Notes:
Inkluderer: Omfatter dyrking av kokosnøtter, oliven, oljepalmer og andre oljeholdige frukter Ekskluderer: Dyrking av soyabønner, jordnøtter og andre oljeholdige frø grupperes under: 01.11 Dyrking av korn (unntatt ris), belgvekster og oljeholdige vekster"
"A.01.2.7","Dyrking av vekster for produksjon av drikkevarer","### Shortname: Dyrk. vekster for prod. av drikkev.

### Notes:
Inkluderer: Omfatter dyrking av kaffe, te, maté, kakao og andre vekster for produksjon av drikkevarer"
"A.01.2.7.0","Dyrking av vekster for produksjon av drikkevarer","### Shortname: Dyrk. vekster for prod. av drikkev.

### Notes:
Inkluderer: Omfatter dyrking av kaffe, te, maté, kakao og andre vekster for produksjon av drikkevarer"
"A.01.2.8","Dyrking av krydder og aromatiske, medisinske og farmasøytiske vekster","### Shortname: Dyrking av krydder mv.

### Notes:
Inkluderer: Omfatter dyrking av flerårige og ettårige kryddervekster og aromatiske vekster: pepper, chilipepper, pepperfrukter, muskatnøtter, muskatplommer, kardemomme, anisfrø,  stjerneanis, fennikel, kanel, kryddernelliker, ingefær, vanilje, humle, andre krydder og aromavekster, farmasøytiske og medisinske vekster"
"A.01.2.8.0","Dyrking av krydder og aromatiske, medisinske og farmasøytiske vekster","### Shortname: Dyrking av krydder mv.

### Notes:
Inkluderer: Omfatter dyrking av flerårige og ettårige kryddervekster og aromatiske vekster: pepper, chilipepper, pepperfrukter, muskatnøtter, muskatplommer, kardemomme, anisfrø,  stjerneanis, fennikel, kanel, kryddernelliker, ingefær, vanilje, humle, andre krydder og aromavekster, farmasøytiske og medisinske vekster"
"A.01.2.9","Dyrking av flerårige vekster ellers","### Shortname: Dyrking av flerårige vekster ellers

### Notes:
Inkluderer: Omfatter dyrking av gummitrær for utvinning av latex, juletrær og trær for utvinning av sevje Ekskluderer: Dyrking av blomster, produksjon av snittblomster og produksjon av blomsterløk grupperes under: 01.19 Dyrking av ettårige vekster ellers. Utvinning av sevje fra trær eller gummilignende materialer i naturen grupperes under: 02.30 Innsamling av viltvoksende produkter av annet enn tre"
"A.01.2.9.0","Dyrking av flerårige vekster ellers","### Shortname: Dyrking av flerårige vekster ellers

### Notes:
Inkluderer: Omfatter dyrking av gummitrær for utvinning av latex, juletrær og trær for utvinning av sevje Ekskluderer: Dyrking av blomster, produksjon av snittblomster og produksjon av blomsterløk grupperes under: 01.19 Dyrking av ettårige vekster ellers. Utvinning av sevje fra trær eller gummilignende materialer i naturen grupperes under: 02.30 Innsamling av viltvoksende produkter av annet enn tre"
"A.01.3","Planteformering","### Shortname: Planteformering"
"A.01.3.0","Planteformering","### Shortname: Planteformering

### Notes:
Inkluderer: Omfatter dyrking av planter til utplanting, prydplanter (herunder ferdigplen) planter for produksjon av løk, knoller og røtter, stiklinger og avleggere, soppmycel til formering og drift av planteskoler unntatt skogplanteskoler Ekskluderer: Dyrking av vekster henblikk på frøproduksjon  grupperes under hhv.: 01.1 Dyrking av ettårige vekster og: 01.2  Dyrking av flerårige vekster. Drift av skogplanteskoler grupperes under: 02.10 Skogskjøtsel og andre skogbruksaktiviteter"
"A.01.3.0.0","Planteformering","### Shortname: Planteformering

### Notes:
Inkluderer: Omfatter dyrking av planter til utplanting, prydplanter (herunder ferdigplen) planter for produksjon av løk, knoller og røtter, stiklinger og avleggere, soppmycel til formering og drift av planteskoler unntatt skogplanteskoler Ekskluderer: Dyrking av vekster henblikk på frøproduksjon  grupperes under hhv.: 01.1 Dyrking av ettårige vekster og: 01.2  Dyrking av flerårige vekster. Drift av skogplanteskoler grupperes under: 02.10 Skogskjøtsel og andre skogbruksaktiviteter"
"A.01.4","Husdyrhold","### Shortname: Husdyrhold

### Notes:
Inkluderer: Omfatter oppdrett og avl av alle dyr unntatt sjødyr Ekskluderer: Oppstalling og pass av husdyr grupperes under: 01.62 Tjenester tilknyttet husdyrhold. Produksjon av huder og skinn av dyr som slaktes på slakteri grupperes under: 10.11 Bearbeiding og konservering av kjøtt"
"A.01.4.1","Melkeproduksjon på storfe","### Shortname: Melkeproduksjon på storfe

### Notes:
Inkluderer: Omfatter oppdrett og avl av melkekyr og produksjon av melk fra kyr og bøfler Ekskluderer: Bearbeiding av melk grupperes under: 10.51 Produksjon av meierivarer"
"A.01.4.1.0","Melkeproduksjon på storfe","### Shortname: Melkeproduksjon på storfe

### Notes:
Inkluderer: Omfatter oppdrett og avl av melkekyr og produksjon av melk fra kyr og bøfler Ekskluderer: Bearbeiding av melk grupperes under: 10.51 Produksjon av meierivarer"
"A.01.4.2","Oppdrett av annet storfe","### Shortname: Oppdrett av annet storfe

### Notes:
Inkluderer: Omfatter oppdrett og avl av storfe og bøfler til kjøttproduksjon og produksjon av oksesæd"
"A.01.4.2.0","Oppdrett av annet storfe","### Shortname: Oppdrett av annet storfe

### Notes:
Inkluderer: Omfatter oppdrett og avl av storfe og bøfler til kjøttproduksjon og produksjon av oksesæd"
"A.01.4.3","Oppdrett av hester og andre dyr av hestefamilien","### Shortname: Oppdrett av hester, esler o.l.

### Notes:
Inkluderer: Omfatter oppdrett og avl av hester, esler, muldyr og mulesler Ekskluderer: Drift av staller for veddeløpshester og rideskoler grupperes under: 93.19 Andre sportsaktiviteter"
"A.01.4.3.0","Oppdrett av hester og andre dyr av hestefamilien","### Shortname: Oppdrett av hester, esler o.l.

### Notes:
Inkluderer: Omfatter oppdrett og avl av hester, esler, muldyr og mulesler Ekskluderer: Drift av staller for veddeløpshester og rideskoler grupperes under: 93.19 Andre sportsaktiviteter"
"A.01.4.4","Oppdrett av kameler og andre kameldyr","### Shortname: Oppdrett av kameler og kameldyr el.

### Notes:
Inkluderer: Omfatter oppdrett og avl av kameler (dromedarer) og dyr av kamelfamilien"
"A.01.4.4.0","Oppdrett av kameler og andre kameldyr","### Shortname: Oppdrett av kameler og kameldyr el.

### Notes:
Inkluderer: Omfatter oppdrett og avl av kameler (dromedarer) og dyr av kamelfamilien"
"A.01.4.5","Saue- og geitehold","### Shortname: Saue- og geitehold

### Notes:
Inkluderer: Omfatter oppdrett og avl av sauer og geiter, produksjon av saue- og geitemelk og produksjon av ull Ekskluderer: Klipping av sau på kontraktbasis grupperes under: 01.62 Tjenester tilknyttet husdyrhold. Produksjon av skinnull grupperes under: 10.11 Bearbeiding og konservering av kjøtt. Bearbeiding av melk grupperes under: 10.51 Produksjon av meierivarer"
"A.01.4.5.1","Sauehold","### Shortname: Sauehold

### Notes:
Inkluderer: Omfatter oppdrett og avl av sauer, produksjon av sauemelk og produksjon av saueull"
"A.01.4.5.2","Geitehold","### Shortname: Geitehold

### Notes:
Inkluderer: Omfatter oppdrett og avl av geiter, produksjon av geitemelk og produksjon av geiteull"
"A.01.4.6","Svinehold","### Shortname: Svinehold

### Notes:
Inkluderer: Omfatter oppdrett og avl av svin"
"A.01.4.6.0","Svinehold","### Shortname: Svinehold

### Notes:
Inkluderer: Omfatter oppdrett og avl av svin"
"A.01.4.7","Fjørfehold","### Shortname: Fjørfehold

### Notes:
Inkluderer: Omfatter oppdrett og avl av høner, kyllinger, kalkuner, ender, gjess og perlehøns og eggproduksjon og rugerier Ekskluderer: Produksjon av fjær og dun grupperes under: 10.12 Bearbeiding og konservering av fjørfekjøtt"
"A.01.4.7.1","Hold av verpehøner for konsumeggproduksjon","### Shortname: Verpehøner for konsumeggprod.

### Notes:
Ekskluderer: Produksjon av rugeegg grupperes under: 01.479 Annet fjørfehold"
"A.01.4.7.9","Annet fjørfehold","### Shortname: Annet fjørfehold

### Notes:
Inkluderer: Omfatter hold av fjørfe for kjøttproduksjon, produksjon av rugeegg og rugerier"
"A.01.4.9","Husdyrhold ellers","### Shortname: Husdyrhold ellers

### Notes:
Inkluderer: Omfatter oppdrett og avl av struts, emus og andre fugler (unntatt fjørfe), insekter, kaniner og andre pelsdyr, produksjon av pelsskinn, krypdyr- eller fugleskinn fra dyr som er oppdrettet, oppdrett av slanger, ferskvannsbasert bløtdyroppdrett og snegleoppdrett o.l., oppdrett av silkeorm, produksjon av silkeormkokoner, biavl og produksjon av honning og bivoks, oppdrett og avl av kjæledyr (unntatt fisk), katter, hunder, fugler, hamstere mv. Ekskluderer: Fjørfeavl grupperes under hhv.: 01.471 Hold av verpehøner for konsumeggproduksjon og: 01.479 Annet fjørfehold. Produksjon av huder og skinn av dyr fra jakt og fellefangst grupperes under: 01.70 Jakt, viltstell og tjenester tilknyttet jakt og viltstell. Oppdrett av frosker, krokodiller og havbasert slangeoppdrett grupperes under hhv.: 03.21 Hav- og kystbasert akvakultur og: 03.22 Ferskvannsbasert akvakultur. Fiskeoppdrett grupperes under hhv.: 03.21 Hav- og kystbasert akvakultur og: 03.22 Ferskvannsbasert akvakultur. Oppstalling og dressur av kjæledyr grupperes under: 96.09 Personlig tjenesteyting ikke nevnt annet sted"
"A.01.4.9.0","Husdyrhold ellers","### Shortname: Husdyrhold ellers

### Notes:
Inkluderer: Omfatter oppdrett og avl av struts, emus og andre fugler (unntatt fjørfe), insekter, kaniner og andre pelsdyr, produksjon av pelsskinn, krypdyr- eller fugleskinn fra dyr som er oppdrettet, oppdrett av slanger, ferskvannsbasert bløtdyroppdrett og snegleoppdrett o.l., oppdrett av silkeorm, produksjon av silkeormkokoner, biavl og produksjon av honning og bivoks, oppdrett og avl av kjæledyr (unntatt fisk), katter, hunder, fugler, hamstere mv. Ekskluderer: Fjørfeavl grupperes under hhv.: 01.471 Hold av verpehøner for konsumeggproduksjon og: 01.479 Annet fjørfehold. Produksjon av huder og skinn av dyr fra jakt og fellefangst grupperes under: 01.70 Jakt, viltstell og tjenester tilknyttet jakt og viltstell. Oppdrett av frosker, krokodiller og havbasert slangeoppdrett grupperes under hhv.: 03.21 Hav- og kystbasert akvakultur og: 03.22 Ferskvannsbasert akvakultur. Fiskeoppdrett grupperes under hhv.: 03.21 Hav- og kystbasert akvakultur og: 03.22 Ferskvannsbasert akvakultur. Oppstalling og dressur av kjæledyr grupperes under: 96.09 Personlig tjenesteyting ikke nevnt annet sted"
"A.01.5","Kombinert husdyrhold og planteproduksjon","### Shortname: Komb. husdyrhold og planteprod."
"A.01.5.0","Kombinert husdyrhold og planteproduksjon","### Shortname: Komb. husdyrhold og planteprod.

### Notes:
Inkluderer: Omfatter kombinert produksjon av vekster og husdyrhold uten spesialisering. Den totale størrelsen av gårdsdrifta er ikke en avgjørende faktor. Hvis enten dyrking av vekster eller husdyrholdet på et gårdsbruk overskrider 66% av standard dekningsbidraget, skal det ikke grupperes her, men grupperes under dyrking av vekster eller husdyrhold Ekskluderer: Blandet planteproduksjon grupperes under hhv.: 01.1 Dyrking av ettårige vekster og: 01.2 Dyrking av flerårige vekster. Blandet husdyrhold grupperes under: 01.4 Husdyrhold"
"A.01.5.0.0","Kombinert husdyrhold og planteproduksjon","### Shortname: Komb. husdyrhold og planteprod.

### Notes:
Inkluderer: Omfatter kombinert produksjon av vekster og husdyrhold uten spesialisering. Den totale størrelsen av gårdsdrifta er ikke en avgjørende faktor. Hvis enten dyrking av vekster eller husdyrholdet på et gårdsbruk overskrider 66% av standard dekningsbidraget, skal det ikke grupperes her, men grupperes under dyrking av vekster eller husdyrhold Ekskluderer: Blandet planteproduksjon grupperes under hhv.: 01.1 Dyrking av ettårige vekster og: 01.2 Dyrking av flerårige vekster. Blandet husdyrhold grupperes under: 01.4 Husdyrhold"
"A.01.6","Tjenester tilknyttet jordbruk og etterbehandling av vekster etter innhøsting","### Shortname: Tjenester tilknyttet jordbruk

### Notes:
Inkluderer: Omfatter aktiviteter i forbindelse med jordbruksdrift utført på kontraktbasis Inkluderer også: Omfatter også bearbeiding av vekster etter innhøsting med henblikk på omsetning på det primære marked"
"A.01.6.1","Tjenester tilknyttet planteproduksjon","### Shortname: Tjenester tilknyttet planteprod.

### Notes:
Inkluderer: Omfatter tjenester tilknyttet planteproduksjon på kontraktbasis: jordkultivering, såing og planting, stell av vekster, sprøyting, beskjæring av trær og busker, prikling og tynning av rotvekster, bekjempelse av skadegjørere, innhøsting og drift av vanningsanlegg Inkluderer også: Omfatter også utleie av jordbruksmaskiner med personell Ekskluderer: Etterbehandling av vekster etter innhøsting grupperes under: 01.63 Etterbehandling av vekster etter innhøsting. Drenering av jordbruksareal grupperes under: 43.12 Grunnarbeid. Landskapsarkitekter grupperes under: 71.113 Landskapsarkitekttjenester. Agronomer og landbruksøkonomers virksomhet grupperes under: 74.909 Annen faglig, vitenskaplig og teknisk virksomhet ikke nevnt annet sted. Hagearkitekter og beplantning grupperes under: 81.30 Beplantning av hager og parkanlegg. Landbruksutstillinger og -messer grupperes under: 82.30 Kongress-, messe- og utstillingsvirksomhet"
"A.01.6.1.0","Tjenester tilknyttet planteproduksjon","### Shortname: Tjenester tilknyttet planteprod.

### Notes:
Inkluderer: Omfatter tjenester tilknyttet planteproduksjon på kontraktbasis: jordkultivering, såing og planting, stell av vekster, sprøyting, beskjæring av trær og busker, prikling og tynning av rotvekster, bekjempelse av skadegjørere, innhøsting og drift av vanningsanlegg Inkluderer også: Omfatter også utleie av jordbruksmaskiner med personell Ekskluderer: Etterbehandling av vekster etter innhøsting grupperes under: 01.63 Etterbehandling av vekster etter innhøsting. Drenering av jordbruksareal grupperes under: 43.12 Grunnarbeid. Landskapsarkitekter grupperes under: 71.113 Landskapsarkitekttjenester. Agronomer og landbruksøkonomers virksomhet grupperes under: 74.909 Annen faglig, vitenskaplig og teknisk virksomhet ikke nevnt annet sted. Hagearkitekter og beplantning grupperes under: 81.30 Beplantning av hager og parkanlegg. Landbruksutstillinger og -messer grupperes under: 82.30 Kongress-, messe- og utstillingsvirksomhet"
"A.01.6.2","Tjenester tilknyttet husdyrhold","### Shortname: Tjenester tilknyttet husdyrhold

### Notes:
Inkluderer: Omfatter tjenester tilknyttet husdyrhold på aktiviteter som fremmer formering, vekst og ytelse hos husdyr, testing av husdyr (husdyrkontroll), drift av beite, kastrering, rengjøring av fjøs, inseminasjon og bedekning, klipping av sauer, oppstalling og stell av husdyr Inkluderer også: Omfatter også hovslagere Ekskluderer: Utleie av plass utelukkende for oppstalling av husdyr grupperes under: 68.209 Utleie av egen eller leid fast eiendom ellers. Veterinærer grupperes under: 75.00 Veterinærtjenester. Vaksinering av husdyr grupperes under: 75.00 Veterinærtjenester. Utleie av husdyr (f.eks. buskap) grupperes under: 77.39 Utleie og leasing av andre maskiner og annet utstyr og materiell ikke nevnt annet sted. Oppstalling av kjæledyr grupperes under: 96.09 Personlig tjenesteyting ikke nevnt annet sted"
"A.01.6.2.0","Tjenester tilknyttet husdyrhold","### Shortname: Tjenester tilknyttet husdyrhold

### Notes:
Inkluderer: Omfatter tjenester tilknyttet husdyrhold på aktiviteter som fremmer formering, vekst og ytelse hos husdyr, testing av husdyr (husdyrkontroll), drift av beite, kastrering, rengjøring av fjøs, inseminasjon og bedekning, klipping av sauer, oppstalling og stell av husdyr Inkluderer også: Omfatter også hovslagere Ekskluderer: Utleie av plass utelukkende for oppstalling av husdyr grupperes under: 68.209 Utleie av egen eller leid fast eiendom ellers. Veterinærer grupperes under: 75.00 Veterinærtjenester. Vaksinering av husdyr grupperes under: 75.00 Veterinærtjenester. Utleie av husdyr (f.eks. buskap) grupperes under: 77.39 Utleie og leasing av andre maskiner og annet utstyr og materiell ikke nevnt annet sted. Oppstalling av kjæledyr grupperes under: 96.09 Personlig tjenesteyting ikke nevnt annet sted"
