organisasjonsnummer,navn,organisasjonsform.kode,organisasjonsform.beskrivelse,naeringskode1.kode,naeringskode1.beskrivelse,naeringskode2.kode,naeringskode2.beskrivelse,naeringskode3.kode,naeringskode3.beskrivelse,hjelpeenhetskode.kode,hjelpeenhetskode.beskrivelse,harRegistrertAntallAnsatte,antallAnsatte,hjemmeside,postadresse.adresse,postadresse.poststed,postadresse.postnummer,postadresse.kommune,postadresse.kommunenummer,postadresse.land,postadresse.landkode,forretningsadresse.adresse,forretningsadresse.poststed,forretningsadresse.postnummer,forretningsadresse.kommune,forretningsadresse.kommunenummer,forretningsadresse.land,forretningsadresse.landkode,institusjonellSektorkode.kode,institusjonellSektorkode.beskrivelse,sisteInnsendteAarsregnskap,registreringsdatoenhetsregisteret,stiftelsesdato,registrertIMvaRegisteret,frivilligMvaRegistrertBeskrivelser,registrertIFrivillighetsregisteret,registrertIForetaksregisteret,registrertIStiftelsesregisteret,konkurs,konkursdato,underAvvikling,underAvviklingDato,underTvangsavviklingEllerTvangsopplosning,tvangsopplostPgaManglendeDagligLederDato,tvangsopplostPgaManglendeRevisorDato,tvangsopplostPgaManglendeRegnskapDato,tvangsopplostPgaMangelfulltStyreDato,tvangsavvikletPgaManglendeSlettingDato,overordnetEnhet,maalform,vedtektsdato,vedtektsfestetFormaal,aktivitet
"930785148","CHILLME AS","AS","Aksjeselskap","47.990","Detaljhandel utenom utsalgssted ellers","","","","","","","false","","","","","","","","","","Almåshaugane 40","HYLKJE","5109","BERGEN","4601","Norge","NO","2100","Private aksjeselskaper mv.","","2023-02-07","2023-01-04","false","","false","true","false","false","","false","","false","","","","","","","Bokmål","2023-01-04","Selge varer og tjenester innen kosttilskudd og kosmetikk - og annet som naturlig sammenfaller med dette - samt deltakelse i andre selskaper, investeringer og nærliggende virksomhet.","Selge varer og tjenester innen kosttilskudd og kosmetikk - og annet som naturlig sammenfaller med dette - samt deltakelse i andre selskaper, investeringer og nærliggende virksomhet."
"988379093","LIBMED AS","AS","Aksjeselskap","86.211","Allmenn legetjeneste","","","","","","","true","","","","","","","","","","Holbergs gate 15","SANDNES","4306","SANDNES","1108","Norge","NO","2100","Private aksjeselskaper mv.","2022","2005-06-29","2005-06-14","false","","false","true","false","false","","false","","false","","","","","","","Bokmål","2005-06-14","Legevirksomhet med formål å drive helsetjeneste, salg, forskning, informasjon og konsulentvirksomhet, investering og utleie samt hva hermed står i forbindelse, herunder å delta i andre selskaper med lignende virksomhet.","Legevirksomhet med formål å drive helsetjeneste, salg, forskning, informasjon og konsulentvirksomhet, investering og utleie samt hva hermed står i forbindelse, herunder å delta i andre selskaper med lignende virksomhet."
"979907109","BJØRNAR STRØMSHOLM","ENK","Enkeltpersonforetak","62.020","Konsulentvirksomhet tilknyttet informasjonsteknologi","","","","","","","false","","","","","","","","","","Ullernchausséen 120J","OSLO","0284","OSLO","0301","Norge","NO","8200","Personlig næringsdrivende","","1998-06-23","","true","","false","false","false","false","","false","","false","","","","","","","Bokmål","","","Konsulentvirksomhet tilknyttet Internett, datasystemer og programvare. Konsulenttjenester tilknyttet design og mediekommunikasjon. Utøvende artistvirksomhet."
"984331584","ABERIA UNG AS","AS","Aksjeselskap","87.901","Institusjoner innen barne- og ungdomsvern","87.302","Bofellesskap for eldre og funksjonshemmede med fast tilknyttet personell hele døgnet","","","","","true","565","www.aberia.no","","","","","","","","Ekholtveien 114","MOSS","1526","MOSS","3103","Norge","NO","2100","Private aksjeselskaper mv.","2022","2002-03-21","2002-02-09","true","","false","true","false","false","","false","","false","","","","","","","Bokmål","2022-08-24","Selskapet har utelukkende et sosialt formål og arbeider for fellesskapets beste. Hovedmålgruppen er barn, unge og voksne med komplekse behov som skyldes medfødt eller påførte psykiske, sosiale eller helsemessige utfordringer. Selskapet jobber for trygge oppvekstsvilkår, livskvalitet og mestring gjennom bruk av forskningsbasert kunnskap, kompetente ansatte, brukermedvirkning og egnede boenheter. Selskapet sitt arbeidsmiljø preges av inkludering, engasjement og likeverd. Selskapet har ikke til formål å skaffe aksjonærer økonomisk utbytte. Et eventuelt overskudd skal reinvesteres i aktivitet som oppfyller organisasjonens sosiale forhold. Kvalitetsutvikling i tjenestene, kompetanseutvikling for ansatte og utvikling av nye bokonsepter er sentrale målsettinger i selskapet sin videreutvikling. Dersom selskapet omgjøres fra ideell til annen virksomhet, eller ved oppløsning, avvikling eller liknende, skal selskapet disponere overskuddet i tråd med selskapets formål som ideell. Selskapet utviser et viktig samfunnsansvar gjennom å bidra med kunnskap om miljø og bærekraft til tjenestemottakere, ansatte og ledere og har et sterkt fokus på bærekraft i operativ drift. Selskapet skal ha sin tilhørighet i og skatte til Norge.","Drift av barnevernsinstitusjon, herunder tiltak for ungdom, familiehjem samt eie og drift av fast eiendom."
"927531879","BE RAW AS","AS","Aksjeselskap","46.421","Engroshandel med klær","","","","","","","false","","","","","","","","","","Knardalpynten 13","HALDEN","1769","HALDEN","3101","Norge","NO","2100","Private aksjeselskaper mv.","2022","2021-08-12","2021-06-18","false","","false","true","false","false","","false","","false","","","","","","","Bokmål","2024-01-03","Kjøp, salg og design av klær og interiør, samt eie av aksjer og andre verdipapirer, og alt som naturlig står i forbindelse med dette.","Selskapet designer klær, importerer klær og tilbehør for videresalg i privatmarkedet."
"992593148","BETTER GLOBE AS","AS","Aksjeselskap","82.990","Annen forretningsmessig tjenesteyting ikke nevnt annet sted","","","","","","","true","","betterglobe.com","Postboks 410","MOSS","1502","MOSS","3103","Norge","NO","Åsfaret 1","DILLING","1570","MOSS","3103","Norge","NO","2100","Private aksjeselskaper mv.","2022","2008-04-28","2008-01-22","true","","false","true","false","false","","false","","false","","","","","","","Bokmål","2020-10-10","Formidling av Crowd funding av trær og donasjonspakker, med formål å plante trær i Afrika for fattigdomsbekjempelse, samt gi support til skolebygging og utdannelse for fattige barn, i tillegg til å hindre global oppvarming.","Annen forretningsmessig tjenesteyting ikke nevnt annet sted."
"925552682","NILIA HERSDAL","ENK","Enkeltpersonforetak","90.031","Selvstendig kunstnerisk virksomhet innen visuell kunst","","","","","","","false","","","","","","","","","","Kolleveien 2","LARVIK","3259","LARVIK","3909","Norge","NO","8200","Personlig næringsdrivende","","2020-08-28","","false","","false","false","false","false","","false","","false","","","","","","","Bokmål","","","Drift av egen kunstnerisk praksis. Dette innebærer produksjon, salg, markedsføring o.l. av egen visuell kunst."
"993049166","SA SALG AS","AS","Aksjeselskap","80.200","Tjenester tilknyttet vakttjenester","","","","","82.202","Telefonsalg","true","126","","Postboks 113 Grefsen","OSLO","0409","OSLO","0301","Norge","NO","Vitaminveien 1A","OSLO","0485","OSLO","0301","Norge","NO","2100","Private aksjeselskaper mv.","2022","2008-09-04","2008-08-27","true","","false","true","false","false","","false","","false","","","","","","","Bokmål","2008-08-27","Ansettelse og opplæring av selgere for-på vegne av andre selskaper- å selge varer og tjenester.","Dørsalg og telefonsalg herunder messer og stands."
"976842669","HEMSEDAL HYTTE- OG FERIEPARK AS","AS","Aksjeselskap","68.209","Utleie av egen eller leid fast eiendom ellers","","","","","","","true","","","","","","","","","","Lykkjavegen 39A","HEMSEDAL","3560","HEMSEDAL","3326","Norge","NO","2100","Private aksjeselskaper mv.","2022","1996-10-23","1996-09-27","true","","false","true","false","false","","false","","false","","","","","","","Bokmål","2022-07-27","Erverve/leie nødvendig grunn for bygging av utleiehytter og drive utleie av egne og andres hytter og av annen fast eiendom, utleie av sportsutstyr og drive handels- og serverings- virksomhet, alt med sikte på å styrke inntekts- grunnlaget for de landbrukseiendommer som avstår grunn.","Utleie av hytter."
"928427242","SKOM II AS","AS","Aksjeselskap","68.209","Utleie av egen eller leid fast eiendom ellers","","","","","","","false","","","","","","","","","","Rådhusgaten 22","JØRPELAND","4100","STRAND","1130","Norge","NO","2100","Private aksjeselskaper mv.","2022","2021-12-22","2021-10-11","true","Utleier av bygg eller anlegg","false","true","false","false","","false","","false","","","","","","","Bokmål","2021-10-11","Utleie av fast eiendom, samt hva herved står i forbindelse, herunder deltakelse i andre selskap.","Utleie av fast eiendom."
