organisasjonsnummer,navn,organisasjonsform.kode,organisasjonsform.beskrivelse,naeringskode1.kode,naeringskode1.beskrivelse,naeringskode2.kode,naeringskode2.beskrivelse,naeringskode3.kode,naeringskode3.beskrivelse,hjelpeenhetskode.kode,hjelpeenhetskode.beskrivelse,harRegistrertAntallAnsatte,antallAnsatte,hjemmeside,postadresse.adresse,postadresse.poststed,postadresse.postnummer,postadresse.kommune,postadresse.kommunenummer,postadresse.land,postadresse.landkode,forretningsadresse.adresse,forretningsadresse.poststed,forretningsadresse.postnummer,forretningsadresse.kommune,forretningsadresse.kommunenummer,forretningsadresse.land,forretningsadresse.landkode,institusjonellSektorkode.kode,institusjonellSektorkode.beskrivelse,sisteInnsendteAarsregnskap,registreringsdatoenhetsregisteret,stiftelsesdato,registrertIMvaRegisteret,frivilligMvaRegistrertBeskrivelser,registrertIFrivillighetsregisteret,registrertIForetaksregisteret,registrertIStiftelsesregisteret,konkurs,konkursdato,underAvvikling,underAvviklingDato,underTvangsavviklingEllerTvangsopplosning,tvangsopplostPgaManglendeDagligLederDato,tvangsopplostPgaManglendeRevisorDato,tvangsopplostPgaManglendeRegnskapDato,tvangsopplostPgaMangelfulltStyreDato,tvangsavvikletPgaManglendeSlettingDato,overordnetEnhet,maalform,vedtektsdato,vedtektsfestetFormaal,aktivitet
"932819864","PINSEDAG THIABSAENG","ENK","Enkeltpersonforetak","96.040","Virksomhet knyttet til kroppspleie og fysisk velvære","","","","","","","false","","","","","","","","","","Slottsbrugata 35","PORSGRUNN","3913","PORSGRUNN","4001","Norge","NO","8200","Personlig næringsdrivende","","2024-01-12","","false","","false","false","false","false","","false","","false","","","","","","","Bokmål","","","Velværemassasje."
"998543118","BYGGVISUALISERING AS","AS","Aksjeselskap","71.121","Byggeteknisk konsulentvirksomhet","","","","","","","true","","","","","","","","","","Yorkstien 4","SANDEFJORD","3233","SANDEFJORD","3907","Norge","NO","2100","Private aksjeselskaper mv.","2022","2012-06-26","2012-06-14","true","","false","true","false","false","","false","","false","","","","","","","Bokmål","2012-06-14","Tegning/konsulenttjenester innen bygg og anlegg bygg , herunder å delta i andre selskap med lignende virksomhet, og kjøp og salg av aksjer eller på annen måte gjøre seg interessert i andre foretak.","Tegning/konsulenttjenester innen bygg og anlegg bygg , herunder å delta i andre selskap med lignende virksomhet, og kjøp og salg av aksjer eller på annen måte gjøre seg interessert i andre foretak."
"919950757","CLINIC VAKKER AS","AS","Aksjeselskap","96.020","Frisering og annen skjønnhetspleie","","","","","","","true","","","Varabergkroken 7C","SOLA","4051","SOLA","1124","Norge","NO","Solakrossen 11","SOLA","4050","SOLA","1124","Norge","NO","2100","Private aksjeselskaper mv.","2022","2017-11-22","2017-11-02","true","","false","true","false","false","","false","","false","","","","","","","Bokmål","2017-11-02","Hudpleie og velværetjenester, herunder import, kjøp og salg av produkter og tjenester som står i forbindelse med dette.","Hudpleie og velværetjenester."
"991223355","SAMEIET JONSVANNSVEIEN 85","ESEK","Eierseksjonssameie","","","","","","","","","false","","","c/o Boligbyggelaget TOBB/nPostboks 2424 Torgarden","TRONDHEIM","7005","TRONDHEIM","5001","Norge","NO","c/o Boligbyggelaget TOBB/nKrambugata 7","TRONDHEIM","7011","TRONDHEIM","5001","Norge","NO","","","","2007-05-21","2007-03-09","false","","false","true","false","false","","false","","false","","","","","","","Bokmål","2007-03-09","Eierseksjonssameie.","Eierseksjonssameie."
"921708874","NORSK PSYKEDELISK VITENSKAP","FLI","Forening/lag/innretning","94.991","Aktiviteter i andre interesseorganisasjoner ikke nevnt annet sted","","","","","","","false","","","","","","","","","","c/o Anna Marie Høifødt/nTangenveien 85","NESODDTANGEN","1450","NESODDEN","3212","Norge","NO","7000","Ideelle organisasjoner","","2018-11-20","2018-10-16","false","","true","false","false","false","","false","","false","","","","","","","Bokmål","","","Foreningen er stiftet med formål om å være et samlingspunkt for akademikere, forskere og forfattere som jobber innenfor psykedelisk vitenskap. Vi ønsker å holde temamøter, konferanser og bistå faglig for andre enheter. Formålet oppnås gjennom aktiviteter som temamøter, konferanser, arrangementer for nettverksbygging og støtte av faglige reiser."
"997795954","PRIVATE EQUITY GROWTH 2012 AS","AS","Aksjeselskap","64.302","Alternative investeringsfond (AIF) som ikke er verdipapirfond","","","","","","","false","","","Postboks 2081 Vika","OSLO","0125","OSLO","0301","Norge","NO","Ruseløkkveien 30","OSLO","0251","OSLO","0301","Norge","NO","4500","Alternative investeringsfond (AIF) unntatt verdipapirfond","2022","2012-01-05","2012-01-02","false","","false","true","false","false","","false","","false","","","","","","","Bokmål","2021-05-04","Drive investeringsvirksomhet, herunder direkte eller indirekte investere i fond, fond i fond innenfor private equity, medinvestere i selskaper, samt drive annen virksomhetsom som står i forbindelse med hovedformålet, herunder kapitalforvaltning.","Porteføljeinvesteringsselskaper."
"928715558","OSTRA NORGE MALMKVIST","ENK","Enkeltpersonforetak","47.912","Postordre-/Internetthandel med tekstiler, utstyrsvarer, klær, skotøy, reiseeffekter og lærvarer","","","","","","","false","","","","","","","","","","Hareveien 13B","TÅRNÅSEN","1413","NORDRE FOLLO","3207","Norge","NO","8200","Personlig næringsdrivende","","2022-02-10","","false","","false","true","false","false","","false","","false","","","","","","","Bokmål","","","Salg av sportsartikler og klær fra distributør i Norge."
"922758530","SIEM SIKKERHET FØRST","ENK","Enkeltpersonforetak","70.220","Bedriftsrådgivning og annen administrativ rådgivning","","","","","","","false","","","","","","","","","","Strandvegen 131D","HAMAR","2316","HAMAR","3403","Norge","NO","8200","Personlig næringsdrivende","2020","2019-05-16","","true","","false","false","false","false","","false","","false","","","","","","","Bokmål","","","Sikkerhetsforebyggende rådgiving herunder ROS analyser og forslag til sikkerhetsreduserende tiltak."
"883190122","THE STORY OF NATURE GEORGIANA KEABLE JERSTAD","ENK","Enkeltpersonforetak","90.012","Utøvende kunstnere og underholdningsvirksomhet innen scenekunst","","","","","","","false","","www.georgiana.net","","","","","","","","Oppsalvegen 265","TANGEN","2337","STANGE","3413","Norge","NO","8200","Personlig næringsdrivende","","2001-04-04","","false","","false","false","false","false","","false","","false","","","","","","","Bokmål","","","Fortellerteater i skoler, teater osv. på engelsk og norsk. Kurs for voksne og barn."
"991877479","MARINA NORDSTRAUMEN AS","AS","Aksjeselskap","93.299","Fritidsvirksomhet ellers","","","","","","","false","","","","","","","","","","Sperrevikvegen 20A","LYSEKLOSTER","5215","BJØRNAFJORDEN","4624","Norge","NO","2100","Private aksjeselskaper mv.","2021","2007-11-12","2007-10-15","false","","false","true","false","false","","false","","false","","","","","","","Bokmål","2007-10-15","Utbygging og drift av marina for småbåter samt deltakelse i andre selskaper.","Utbygging og drift av marina for småbåter samt deltakelse i andre selskaper."
