organisasjonsnummer,navn,organisasjonsform.kode,organisasjonsform.beskrivelse,naeringskode1.kode,naeringskode1.beskrivelse,naeringskode2.kode,naeringskode2.beskrivelse,naeringskode3.kode,naeringskode3.beskrivelse,hjelpeenhetskode.kode,hjelpeenhetskode.beskrivelse,harRegistrertAntallAnsatte,antallAnsatte,hjemmeside,postadresse.adresse,postadresse.poststed,postadresse.postnummer,postadresse.kommune,postadresse.kommunenummer,postadresse.land,postadresse.landkode,forretningsadresse.adresse,forretningsadresse.poststed,forretningsadresse.postnummer,forretningsadresse.kommune,forretningsadresse.kommunenummer,forretningsadresse.land,forretningsadresse.landkode,institusjonellSektorkode.kode,institusjonellSektorkode.beskrivelse,sisteInnsendteAarsregnskap,registreringsdatoenhetsregisteret,stiftelsesdato,registrertIMvaRegisteret,frivilligMvaRegistrertBeskrivelser,registrertIFrivillighetsregisteret,registrertIForetaksregisteret,registrertIStiftelsesregisteret,konkurs,konkursdato,underAvvikling,underAvviklingDato,underTvangsavviklingEllerTvangsopplosning,tvangsopplostPgaManglendeDagligLederDato,tvangsopplostPgaManglendeRevisorDato,tvangsopplostPgaManglendeRegnskapDato,tvangsopplostPgaMangelfulltStyreDato,tvangsavvikletPgaManglendeSlettingDato,overordnetEnhet,maalform,vedtektsdato,vedtektsfestetFormaal,aktivitet
"998590639","STIFTELSEN STEINLØFTET","STI","Stiftelse","94.991","Aktiviteter i andre interesseorganisasjoner ikke nevnt annet sted","","","","","","","false","","","c/o Torild Storvik Malmedal/nStølsvegen 2","ELNESVÅGEN","6440","HUSTADVIKA","1579","Norge","NO","","EIDE","6490","HUSTADVIKA","1579","Norge","NO","7000","Ideelle organisasjoner","2022","2012-07-21","2012-06-01","false","","true","false","true","false","","false","","false","","","","","","","Bokmål","","","Stiftelsen har som formål å fremme kunst og kultur i nærmiljøe i Eide kommune for barn, unge og voksne. Stiftelsen ""Steinløftet vil arrangere aktiviteter og kurs for befolkningen i området og innvolvere andre kulturer både lokalt og internasjonalt."
"923255664","AUTOHUSET VALDRES AS","AS","Aksjeselskap","45.200","Vedlikehold og reparasjon av motorvogner, unntatt motorsykler","","","","","","","true","12","","","","","","","","","Kongsvegen 4","LEIRA I VALDRES","2920","NORD-AURDAL","3451","Norge","NO","2100","Private aksjeselskaper mv.","2022","2019-08-26","2019-08-09","true","","false","true","false","false","","false","","false","","","","","","","Bokmål","2019-12-09","Kjøp, salg og reparasjon av motoriserte kjøretøy, samt salg av deler, verktøy, rekvisita og utstyr. Selskapet kan også drive annen næring som står i tilknytning til slik drift.","Kjøp, salg og reparasjon av motoriserte kjøretøy, samt salg av deler, verktøy, rekvisita og utstyr. Selskapet kan også drive annen næring som står i tilknytning til slik drift."
"956503523","BROTHERS AS","AS","Aksjeselskap","68.209","Utleie av egen eller leid fast eiendom ellers","","","","","","","true","","","Postboks 444","MÅLØY","6701","KINN","4602","Norge","NO","","MÅLØY","6700","KINN","4602","Norge","NO","2100","Private aksjeselskaper mv.","2022","1995-02-19","1990-01-28","true","","false","true","false","false","","false","","false","","","","","","","Bokmål","2020-12-01","Eie aksjer og andeler i andre selskaper, eie og drive faste eiendommer samt gjøre seg næring av å kjøpe og selge valuta, ihendehaverobligasjoner og andre verdipapirer. Selskapet skal kunne investere deler av kapitalen i prosjekter med høy risiko, men dog skal der alltid tas hensyn til at man gjennom spredning av investeringene søker å redu- sere risikoen.","Eie aksjer og andeler i andre selskaper, eie og drive faste eiendommer samt gjøre seg næring av å kjøpe og selge valuta, ihendehaverobligasjoner og andre verdipapirer. Selskapet skal kunne investere deler av kapitalen i prosjekter med høy risiko, men dog skal der alltid tas hensyn til at man gjennom spredning av investeringene søker å redu- sere risikoen."
"930940453","FROST INNOVATION AS","AS","Aksjeselskap","03.213","Tjenester tilknyttet hav- og kystbasert fiskeoppdrett","","","","","","","true","","","","","","","","","","Finstadsvingen 13","SKI","1406","NORDRE FOLLO","3207","Norge","NO","2100","Private aksjeselskaper mv.","2022","2012-02-28","2012-01-30","true","","false","true","false","false","","false","","false","","","","","","","Bokmål","2012-01-30","Salg av tjenester og andre produkter som naturlig faller sammen med dette, herunder å delta i andre selskaper med lignende virksomhet, kjøp og salg av aksjer, eller på annen måte gjøre seg interessert i andre foretagender.","Salg av tjenester til selskaper innen fiskeoppdrett, fornybar energi og bærekraftig utvikling. I tillegg vil selskapet vurdere investeringer eller annen deltagelse i andre selskaper innen disse bransjene."
"926948695","MÅRTEN BERGET","ENK","Enkeltpersonforetak","90.031","Selvstendig kunstnerisk virksomhet innen visuell kunst","","","","","","","false","","www.maartenberget.com","","","","","","","","Skogfaret 8","SKOTTERUD","2230","EIDSKOG","3416","Norge","NO","8200","Personlig næringsdrivende","","2007-09-29","","false","","false","false","false","false","","false","","false","","","","","","","Bokmål","","","Utøvende kunstnervirksomhet, musiker og musikkproduksjon."
"918397981","LEAN FREELANCE CONSULTING AS","AS","Aksjeselskap","70.220","Bedriftsrådgivning og annen administrativ rådgivning","","","","","","","false","","www.leanfreelance.no","","","","","","","","Lyngneset 7","AUKLANDSHAMN","5551","SVEIO","4612","Norge","NO","2100","Private aksjeselskaper mv.","2022","2017-01-19","2017-01-03","true","","false","true","false","false","","false","","false","","","","","","","Bokmål","2017-01-03","Konsulentvirksomhet innen organisasjonsutvikling og kursvirksomhet for virksomheter og annet som naturlig faller sammen med dette.","Konsulentvirksomhet innen organisasjonsutvikling og kursvirksomhet. Ledertrening og kvalitetsledelse-TQM, LEAN filosofi, TPM (Total Productive Mantenance) og teamtrening."
"911899884","OPSETH EIGEDOM AS","AS","Aksjeselskap","68.209","Utleie av egen eller leid fast eiendom ellers","","","","","","","true","","","C/O Tor Opseth/nPrestebøen 15E","FØRDE","6809","SUNNFJORD","4647","Norge","NO","Prestebøen 15E","FØRDE","6809","SUNNFJORD","4647","Norge","NO","2100","Private aksjeselskaper mv.","2022","1995-03-12","1969-01-02","true","Utleier av bygg eller anlegg","false","true","false","false","","false","","false","","","","","","","Nynorsk","2019-05-28","Å eige, drive eller vere interessentar i fast eigedom og liknande verksemd, samt tilby rådgjevingstenester.","Å eige, drive eller vere interessentar i fast eigedom og liknande verksemd, samt tilby rådgjevingstenester."
"915542069","CLEC PRODUCTION AS","AS","Aksjeselskap","22.290","Produksjon av plastprodukter ellers","","","","","","","false","","www.clec.no","Postboks 1348","ALTA","9505","ALTA","5601","Norge","NO","Altaveien 96B","ALTA","9513","ALTA","5601","Norge","NO","2100","Private aksjeselskaper mv.","2022","2011-04-02","2011-03-01","true","","false","true","false","false","","false","","false","","","","","","","Bokmål","2019-11-12","Fremstilling/salg av plastprodukter og andre produkter som naturlig faller sammen med dette, herunder å delta i andre selskaper med lignende virksomhet, kjøp og salg av aksjer, eller på annen måte gjøre seg interessert i andre foretagender.","Produksjon av plastprodukter."
"932083868","MASTCON AS","AS","Aksjeselskap","71.121","Byggeteknisk konsulentvirksomhet","","","","","","","false","","","","","","","","","","Vassenden","VASSENDEN","6847","SUNNFJORD","4647","Norge","NO","2100","Private aksjeselskaper mv.","2022","2013-01-28","2013-01-10","true","","false","true","false","false","","false","","false","","","","","","","Bokmål","2013-01-10","Eiendom, konsulent tjenester, import/export, bemanningstjenester, entrepenør tjenester","Konsulent tjenester innen bygg & anlegg og Maritim sektor. Utleie av arbeidskraft innen bygg og anlegg, i forbindelse med dette kan det bli aktuelt med drifting/utleie av eiendom til ""boformål"". Import/eksport av materiell til bygg & anlegg. Entreprenørtjenester innen Bygg & Anlegg."
"923346481","URCHINOMICS IMPACT NORDICS AS","AS","Aksjeselskap","03.111","Hav- og kystfiske","","","","","","","true","","","","","","","","","","c/o Ryfylke Næringshage/nNedre Hauskjeneset 3","FINNØY","4160","STAVANGER","1103","Norge","NO","2100","Private aksjeselskaper mv.","2022","2019-09-05","2019-08-19","true","","false","true","false","false","","false","","false","","","","","","","Bokmål","2019-08-19","Selskapets formål er fangst, oppdrett, prosessering, salg, markedsføring og eksport av kråkeboller, fjerning av kråkeboller for gjennopprette tare ved kysten, samt alt som står i forbindelse med dette.","Aqvakultur med fangst, oppdrett, prosessering, salg, markedsføring og eksport av kråkeboller, fjerning av kråkeboller for gjennopprette tare ved kysten, samt alt som står i forbindelse med dette."
