organisasjonsnummer,navn,organisasjonsform.kode,organisasjonsform.beskrivelse,naeringskode1.kode,naeringskode1.beskrivelse,naeringskode2.kode,naeringskode2.beskrivelse,naeringskode3.kode,naeringskode3.beskrivelse,hjelpeenhetskode.kode,hjelpeenhetskode.beskrivelse,harRegistrertAntallAnsatte,antallAnsatte,hjemmeside,postadresse.adresse,postadresse.poststed,postadresse.postnummer,postadresse.kommune,postadresse.kommunenummer,postadresse.land,postadresse.landkode,beliggenhetsadresse.adresse,beliggenhetsadresse.poststed,beliggenhetsadresse.postnummer,beliggenhetsadresse.kommune,beliggenhetsadresse.kommunenummer,beliggenhetsadresse.land,beliggenhetsadresse.landkode,registreringsdatoIEnhetsregisteret,frivilligMvaRegistrertBeskrivelser,registrertIMvaregisteret,oppstartsdato,datoEierskifte,overordnetEnhet,nedleggelsesdato
"922222835","BULL-HANSEN HELSE","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","85.599","Annen undervisning ikke nevnt annet sted","","","","","","","false","","","","","","","","","","Bøkkerveien 40A","OSLO","0579","OSLO","0301","Norge","NO","2019-02-14","","false","2019-01-01","","922080755",""
"925356158","YOUTH ACTIVITY ORGANIZATION WORLDWIDE","AAFY","Underenhet til ikke-næringsdrivende","94.910","Religiøse organisasjoner","","","","","","","false","","","Vålerveien 159","MOSS","1599","MOSS","3103","Norge","NO","Oslofjordveien 9","MELSOMVIK","3159","SANDEFJORD","3907","Norge","NO","2020-07-16","","false","2020-07-16","","925353566",""
"922894744","BOOKFELLOWS AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","90.034","Selvstendig kunstnerisk virksomhet innen litteratur","","","","","","","false","","","","","","","","","","C/o Petter Færevaag/nGamle Ringeriksvei 47B","BEKKESTUA","1357","BÆRUM","3201","Norge","NO","2019-06-15","","false","2019-05-15","","922716919",""
"984627033","NARVESEN BUTIKKEN 722","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","47.112","Kioskhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler","","","","","","","true","5","","c/o Mohamed Ahmad Almajzoub/nMidtunheia 8","NESTTUN","5224","BERGEN","4601","Norge","NO","Sartorvegen 12","STRAUME","5353","ØYGARDEN","4626","Norge","NO","2002-06-20","","false","2002-06-15","2022-10-05","929890841",""
"931222341","FIX IT PIUS-EZEH","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","95.220","Reparasjon av husholdningsvarer og hageredskaper","","","","","","","false","","","","","","","","","","Gamle Enebakkvei 47C","OSLO","1188","OSLO","0301","Norge","NO","2023-04-18","","false","2023-04-01","","930923877",""
"975794180","VERTSHUSET RESTAURANT AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","56.101","Drift av restauranter og kafeer","","","","","","","true","10","","","","","","","","","Ulefossgata 2","ULEFOSS","3830","NOME","4018","Norge","NO","1995-10-09","","false","1995-09-02","2009-01-01","930923877",""
"987391596","HAIR SALONG KRISTIANSAND AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","96.020","Frisering og annen skjønnhetspleie","","","","","","","true","","","","","","","","","","Skippergata 3","KRISTIANSAND S","4611","KRISTIANSAND","4204","Norge","NO","2004-10-20","","false","2004-10-01","2017-01-01","918539581",""
"987357711","VIKAN AUTO","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","45.112","Detaljhandel med biler og lette motorvogner, unntatt motorsykler","","","","","","","false","","","","","","","","","","Måltrostveien 30","KONGSBERG","3617","KONGSBERG","3303","Norge","NO","2004-10-12","","false","2004-07-01","","918539581",""
"911933446","PILARCZYK MALESERVICE","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","43.341","Malerarbeid","","","","","","","true","","","Postboks 15","TRYSIL","2421","TRYSIL","3421","Norge","NO","co Trysil Økonomisenter AS/nSlettmovegen 30","TRYSIL","2420","TRYSIL","3421","Norge","NO","2013-05-13","","false","2013-05-07","","911929090",""
"993692913","WIKEN DESIGN","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","74.102","Grafisk og visuell kommunikasjonsdesign","","","","","","","false","","","","","","","","","","Røggevegen 6","HEMSEDAL","3560","HEMSEDAL","3326","Norge","NO","2009-02-12","","false","2008-01-01","","911929090",""
