influencing_tax_ident,influenced_tax_ident,rel_type_code,percentage
913748174,933627209,HFOR,100
913748174,913192192,HFOR,100
913192192,999151477,HFOR,100
913192192,997839145,HFOR,100
913192192,997822994,HFOR,100
913192192,997822986,HFOR,100
913192192,996864359,HFOR,100
913192192,991374329,HFOR,100
913192192,987903066,HFOR,100
913192192,934060199,HFOR,100
913192192,929877950,HFOR,100
913192192,924801026,HFOR,88.0
913192192,914636191,HFOR,100
913192192,914635888,HFOR,100
913192192,914635233,HFOR,100
913192192,914634377,HFOR,100
913192192,893821872,HFOR,100
929877950,997839161,HFOR,100
929877950,929196899,HFOR,99
929877950,929196732,HFOR,100
929877950,920882803,HFOR,100
929877950,920882749,HFOR,60
