organisasjonsnummer,navn,organisasjonsform.kode,organisasjonsform.beskrivelse,naeringskode1.kode,naeringskode1.beskrivelse,naeringskode2.kode,naeringskode2.beskrivelse,naeringskode3.kode,naeringskode3.beskrivelse,hjelpeenhetskode.kode,hjelpeenhetskode.beskrivelse,harRegistrertAntallAnsatte,antallAnsatte,hjemmeside,postadresse.adresse,postadresse.poststed,postadresse.postnummer,postadresse.kommune,postadresse.kommunenummer,postadresse.land,postadresse.landkode,forretningsadresse.adresse,forretningsadresse.poststed,forretningsadresse.postnummer,forretningsadresse.kommune,forretningsadresse.kommunenummer,forretningsadresse.land,forretningsadresse.landkode,institusjonellSektorkode.kode,institusjonellSektorkode.beskrivelse,sisteInnsendteAarsregnskap,registreringsdatoenhetsregisteret,stiftelsesdato,registrertIMvaRegisteret,frivilligMvaRegistrertBeskrivelser,registrertIFrivillighetsregisteret,registrertIForetaksregisteret,registrertIStiftelsesregisteret,konkurs,konkursdato,underAvvikling,underAvviklingDato,underTvangsavviklingEllerTvangsopplosning,tvangsopplostPgaManglendeDagligLederDato,tvangsopplostPgaManglendeRevisorDato,tvangsopplostPgaManglendeRegnskapDato,tvangsopplostPgaMangelfulltStyreDato,tvangsavvikletPgaManglendeSlettingDato,overordnetEnhet,maalform,vedtektsdato,vedtektsfestetFormaal,aktivitet
893821872,AKER SOLUTIONS FINLAND OY,UTLA,Utenlandsk enhet,,,,,,,,,false,,,"c/o Kværner Holding AS, Postboks 74",LYSAKER,1325,BÆRUM,3201,Norge,NO,Friitalantie 14,28400 Ulvila,,,,Finland,FI,,,,2009-03-05,,false,,false,false,false,false,,false,,false,,,,,,,Bokmål,,,
913192192,AKER SOLUTIONS HOLDING AS,AS,Aksjeselskap,09.109,Andre tjenester tilknyttet utvinning av råolje og naturgass,,,,,70.100,Hovedkontortjenester,false,,,Postboks 169,LYSAKER,1325,BÆRUM,3201,Norge,NO,Oksenøyveien 8,LYSAKER,1366,BÆRUM,3201,Norge,NO,2100,Private aksjeselskaper mv.,2025,2014-02-08,2014-01-27,true,,false,true,false,false,,false,,false,,,,,,,Bokmål,,,
913748174,AKER SOLUTIONS ASA,ASA,Allmennaksjeselskap,09.109,Andre tjenester tilknyttet utvinning av råolje og naturgass,,,,,70.100,Hovedkontortjenester,false,,,Postboks 169,LYSAKER,1325,BÆRUM,3201,Norge,NO,Oksenøyveien 8,LYSAKER,1366,BÆRUM,3201,Norge,NO,2100,Private aksjeselskaper mv.,2024,2014-06-11,2014-05-23,true,,false,true,false,false,,false,,false,,,,,,,Bokmål,,,
914634377,AKER ENGINEERING INTERNATIONAL SDN BHD,UTLA,Utenlandsk enhet,,,,,,,,,false,,,"c/o Aker Solutions Holding AS, Postboks 169",LYSAKER,1325,BÆRUM,3201,Norge,NO,"B-2-9 (2nd Floor), Pusat Perdagangan Kuchai, No. 2,, Jalan 1/127 Off Jalan Kuchai Lama",58200 Kuala Lumpur,,,,Malaysia,MY,,,,2014-12-18,2003-10-15,false,,false,false,false,false,,false,,false,,,,,,,Bokmål,,,
914635233,AKER SOLUTIONS ANGOLA LTD,UTLA,Utenlandsk enhet,,,,,,,,,false,,,"c/o Aker Solutions Holding AS, Postboks 169",LYSAKER,1325,BÆRUM,3201,Norge,NO,"Building 6 Chiswick Park, 566 Chiswick High Road",LONDON W4 5HR ENGLAND,,,,Storbritannia,GB,,,,2014-12-18,1936-11-10,false,,false,false,false,false,,false,,false,,,,,,,Bokmål,,,
914635888,AKER SOLUTIONS CYPRUS LTD,UTLA,Utenlandsk enhet,,,,,,,,,false,,,"c/o Aker Solutions Holding AS, Postboks 169",LYSAKER,1325,BÆRUM,3201,Norge,NO,"37, Theklas Lissioti Street, 201 Gemini House",3030 Limassol,,,,Kypros,CY,,,,2014-12-18,2009-06-11,false,,false,false,false,false,,false,,false,,,,,,,Bokmål,,,
914636191,AKER SOLUTIONS KOREA,UTLA,Utenlandsk enhet,,,,,,,,,false,,,"c/o Aker Solutions Holding AS, Postboks 169",LYSAKER,1325,BÆRUM,3201,Norge,NO,"Ayang Dong 2 Floor 2,",Tapgok-ro Geoje-si,,,,Sør-Korea,KR,,,,2014-12-18,2014-09-22,false,,false,false,false,false,,false,,false,,,,,,,Bokmål,,,
920882749,KVAERNER COOEC ENGINEERING & TECHNOLOGY (QUINGDAO) LTD,UTLA,Utenlandsk enhet,,,,,,,,,false,,,"c/o Kværner AS, Postboks 74",LYSAKER,1325,BÆRUM,3201,Norge,NO,"Qingdao Economic & Technology, Development Zone,",CN-Shandong Province 266520,,,,Kina,CN,,,,2018-05-23,2014-04-24,false,,false,false,false,false,,false,,false,,,,,,,Bokmål,,,
920882803,KVAERNER ENGINEERING & TECHNOLOGY (BEIJING) CO LTD,UTLA,Utenlandsk enhet,,,,,,,,,false,,,"c/o Kværner AS, Postboks 74",LYSAKER,1325,BÆRUM,3201,Norge,NO,"Kvaerner Beijing, A-357 Global Trade Center, 36 Beisanhuandong road, Dongcheng",Beijing 100013,,,,Kina,CN,,,,2018-05-23,2012-03-31,false,,false,false,false,false,,false,,false,,,,,,,Bokmål,,,
924801026,BENESTAD SOLUTIONS AS,AS,Aksjeselskap,28.140,Produksjon av kraner og ventiler ellers,,,,,,,true,59,,Postboks 73,LIER,3401,LIER,3312,Norge,NO,Joseph Kellers vei 20,TRANBY,3408,LIER,3312,Norge,NO,2100,Private aksjeselskaper mv.,2025,1995-03-12,1973-03-20,true,,false,true,false,false,,false,,false,,,,,,,Bokmål,,,
