path,name
03,Oslo
11,Rogaland
15,Møre og Romsdal
18,Nordland - Nordlánnda
31,Østfold
32,Akershus
33,Buskerud
34,Innlandet
39,Vestfold
40,Telemark
42,Agder
46,Vestland
50,Trøndelag - Trööndelage
55,Troms - Romsa - Tromssa
56,Finnmark - Finnmárku - Finmarkku
99,Uoppgitt
03.01,Oslo
11.01,Eigersund
11.03,Stavanger
11.06,Haugesund
11.08,Sandnes
11.11,Sokndal
11.12,Lund
11.14,Bjerkreim
11.19,Hå
11.20,Klepp
11.21,Time
11.22,Gjesdal
11.24,Sola
11.27,Randaberg
11.30,Strand
11.33,Hjelmeland
11.34,Suldal
11.35,Sauda
11.44,Kvitsøy
11.45,Bokn
11.46,Tysvær
11.49,Karmøy
11.51,Utsira
11.60,Vindafjord
15.05,Kristiansund
15.06,Molde
15.08,Ålesund
15.11,Vanylven
15.14,Sande
15.15,Herøy (Møre og Romsdal)
15.16,Ulstein
15.17,Hareid
15.20,Ørsta
15.25,Stranda
15.28,Sykkylven
15.31,Sula
15.32,Giske
15.35,Vestnes
15.39,Rauma
15.47,Aukra
15.54,Averøy
15.57,Gjemnes
15.60,Tingvoll
15.63,Sunndal
15.66,Surnadal
15.73,Smøla
15.76,Aure
15.77,Volda
15.78,Fjord
15.79,Hustadvika
15.80,Haram
18.04,Bodø
18.06,Narvik
18.11,Bindal
18.12,Sømna
18.13,Brønnøy
18.15,Vega
18.16,Vevelstad
18.18,Herøy (Nordland)
18.20,Alstahaug
18.22,Leirfjord
18.24,Vefsn
18.25,Grane
18.26,Aarborte - Hattfjelldal
18.27,Dønna
18.28,Nesna
18.32,Hemnes
18.33,Rana - Raane
18.34,Lurøy
18.35,Træna
18.36,Rødøy
18.37,Meløy
18.38,Gildeskål
18.39,Beiarn
18.40,Saltdal
18.41,Fauske - Fuossko
18.45,Sørfold - Fuolldá
18.48,Steigen
18.51,Lødingen
18.53,Evenes - Evená??i
18.56,Røst
18.57,Værøy
18.59,Flakstad
18.60,Vestvågøy
18.65,Vågan
18.66,Hadsel
18.67,Bø
18.68,Øksnes
18.70,Sortland - Suortá
18.71,Andøy
18.74,Moskenes
18.75,Hábmer - Hamarøy
31.01,Halden
31.03,Moss
31.05,Sarpsborg
31.07,Fredrikstad
31.10,Hvaler
31.12,Råde
31.14,Våler (Østfold)
31.16,Skiptvet
31.18,Indre Østfold
31.20,Rakkestad
31.22,Marker
31.24,Aremark
32.01,Bærum
32.03,Asker
32.05,Lillestrøm
32.07,Nordre Follo
32.09,Ullensaker
32.12,Nesodden
32.14,Frogn
32.16,Vestby
32.18,Ås
32.20,Enebakk
32.22,Lørenskog
32.24,Rælingen
32.26,Aurskog-Høland
32.28,Nes
32.30,Gjerdrum
32.32,Nittedal
32.34,Lunner
32.36,Jevnaker
32.38,Nannestad
32.40,Eidsvoll
32.42,Hurdal
33.01,Drammen
33.03,Kongsberg
33.05,Ringerike
33.10,Hole
33.12,Lier
33.14,Øvre Eiker
33.16,Modum
33.18,Krødsherad
33.20,Flå
33.22,Nesbyen
33.24,Gol
33.26,Hemsedal
33.28,Ål
33.30,Hol
33.32,Sigdal
33.34,Flesberg
33.36,Rollag
33.38,Nore og Uvdal
34.01,Kongsvinger
34.03,Hamar
34.05,Lillehammer
34.07,Gjøvik
34.11,Ringsaker
34.12,Løten
34.13,Stange
34.14,Nord-Odal
34.15,Sør-Odal
34.16,Eidskog
34.17,Grue
34.18,Åsnes
34.19,Våler (Innlandet)
34.20,Elverum
34.21,Trysil
34.22,Åmot
34.23,Stor-Elvdal
34.24,Rendalen
34.25,Engerdal
34.26,Tolga
34.27,Tynset
34.28,Alvdal
34.29,Folldal
34.30,Os
34.31,Dovre
34.32,Lesja
34.33,Skjåk
34.34,Lom
34.35,Vågå
34.36,Nord-Fron
34.37,Sel
34.38,Sør-Fron
34.39,Ringebu
34.40,Øyer
34.41,Gausdal
34.42,Østre Toten
34.43,Vestre Toten
34.46,Gran
34.47,Søndre Land
34.48,Nordre Land
34.49,Sør-Aurdal
34.50,Etnedal
34.51,Nord-Aurdal
34.52,Vestre Slidre
34.53,Øystre Slidre
34.54,Vang
39.01,Horten
39.03,Holmestrand
39.05,Tønsberg
39.07,Sandefjord
39.09,Larvik
39.11,Færder
40.01,Porsgrunn
40.03,Skien
40.05,Notodden
40.10,Siljan
40.12,Bamble
40.14,Kragerø
40.16,Drangedal
40.18,Nome
40.20,Midt-Telemark
40.22,Seljord
40.24,Hjartdal
