organisasjonsnummer,navn,organisasjonsform.kode,organisasjonsform.beskrivelse,naeringskode1.kode,naeringskode1.beskrivelse,naeringskode2.kode,naeringskode2.beskrivelse,naeringskode3.kode,naeringskode3.beskrivelse,hjelpeenhetskode.kode,hjelpeenhetskode.beskrivelse,harRegistrertAntallAnsatte,antallAnsatte,hjemmeside,postadresse.adresse,postadresse.poststed,postadresse.postnummer,postadresse.kommune,postadresse.kommunenummer,postadresse.land,postadresse.landkode,beliggenhetsadresse.adresse,beliggenhetsadresse.poststed,beliggenhetsadresse.postnummer,beliggenhetsadresse.kommune,beliggenhetsadresse.kommunenummer,beliggenhetsadresse.land,beliggenhetsadresse.landkode,registreringsdatoIEnhetsregisteret,frivilligMvaRegistrertBeskrivelser,registrertIMvaregisteret,oppstartsdato,datoEierskifte,overordnetEnhet,nedleggelsesdato
"984325606","BIRKEDALSVEIEN 68C AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","68.209","Utleie av egen eller leid fast eiendom ellers","","","","","","","false","","","","","","","","","","Birkedalsveien 68C","SØGNE","4640","KRISTIANSAND","4204","Norge","NO","2002-03-16","","false","2002-04-01","","984314094",""
"994392085","LAMPEMAGASINET DRAMMEN","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","47.592","Butikkhandel med belysningsutstyr","","","","","","","true","6","","Postboks 260 Alnabru","OSLO","0614","OSLO","0301","Norge","NO","Hauges gate 1","DRAMMEN","3019","DRAMMEN","3301","Norge","NO","2009-08-10","","false","2008-08-04","","943786232",""
"920729487","BULUT & CO ADVOKATFIRMA AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","69.100","Juridisk tjenesteyting","","","","","","","true","","","","","","","","","","Dronning Eufemias gate 16","OSLO","0191","OSLO","0301","Norge","NO","2018-04-16","","false","2018-03-20","","920609589",""
"823899572","NORSK REVMATIKERFORBUNDS BARNEFOND","AAFY","Underenhet til ikke-næringsdrivende","94.992","Fond/legater som støtter veldedige og allmennyttige formål","","","","","","","false","","","","","","","","","","Professor Dahls gate 32","OSLO","0260","OSLO","0301","Norge","NO","2019-11-26","","false","2018-01-01","","915356753",""
"922448450","STEIGJELEN SAMEIE","AAFY","Underenhet til ikke-næringsdrivende","","","","","","","","","false","","","","","","","","","","Steigjelen 23","ALVDAL","2560","ALVDAL","3428","Norge","NO","2019-03-25","","false","","","820432932",""
"924108789","SAMEIET TRINNENE SKÅREDALEN","AAFY","Underenhet til ikke-næringsdrivende","","","","","","","","","false","","www.haubo.no","Postboks 2721","TRONDHEIM","7439","TRONDHEIM","5001","Norge","NO","c/o Haugesund Boligbyggelag - HAUBO/nKirkegata 130","HAUGESUND","5527","HAUGESUND","1106","Norge","NO","2019-12-12","","false","","","922325626",""
"918228454","FOTOGRAF ANNE-STINE JOHNSBRÅTEN","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","74.200","Fotografvirksomhet","","","","","","","false","","","","","","","","","","Sønsterudveien 3","KOLBOTN","1410","NORDRE FOLLO","3207","Norge","NO","2016-12-21","","false","2015-01-01","","986313915",""
"930931322","HEIPA HOLDING AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","00.000","Uoppgitt","","","","","","","false","","","","","","","","","","c/o Preben Aune/nKjeldmyrvegen 5","BANGSUND","7822","NAMSOS","5007","Norge","NO","2023-03-02","","false","2023-02-21","","930929077",""
"932792311","TECA INVEST AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","00.000","Uoppgitt","","","","","","","false","","","","","","","","","","Hammarsdalen 21","VALESTRANDSFOSSEN","5281","OSTERØY","4630","Norge","NO","2024-01-09","","false","2024-01-01","","932751143",""
"990915334","GK NORGE AS AVD LONGYEARBYEN GKI","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","43.223","Ventilasjonsarbeid","","","","","","","false","","","Postboks 465","LONGYEARBYEN","9171","SVALBARD","2100","Norge","NO","Sjøområdet/nVei 308 6","LONGYEARBYEN","9170","SVALBARD","2100","Norge","NO","2007-02-15","","false","2007-01-01","2021-12-11","915892981",""
"991154493","HÅNDVERKER JAREK KIESZEK","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","41.200","Oppføring av bygninger","","","","","","","false","","","Postboks 1055 Hoff","OSLO","0218","OSLO","0301","Norge","NO","Skjolden 5","HØVIK","1363","BÆRUM","3201","Norge","NO","2007-04-19","","false","2007-03-30","","891108702",""
"930359173","MYRBAKKEN BASSFORMIDLING","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","90.011","Utøvende kunstnere og underholdningsvirksomhet innen musikk","","","","","","","false","","","","","","","","","","Furuveien 8","BARDUFOSS","9325","MÅLSELV","5524","Norge","NO","2022-12-05","","false","2022-10-24","","930232645",""
"922634319","SÆTHER-BYGG-AS.NO AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","41.200","Oppføring av bygninger","","","","","","","true","7","","","","","","","","","Liabygdvegen 186","ISFJORDEN","6320","RAUMA","1539","Norge","NO","2019-04-13","","false","2019-03-21","","922608326",""
"932552620","KSU EIENDOMSUTVIKLING AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","41.109","Utvikling og salg av egen fast eiendom ellers","","","","","","","false","","","","","","","","","","Nordmørsveien 54","KRISTIANSUND N","6517","KRISTIANSUND","1505","Norge","NO","2023-12-02","","false","2023-11-09","","932528657",""
"983417051","ØYSTEIN MYHRE","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","01.620","Tjenester tilknyttet husdyrhold","","","","","","","false","","","","","","","","","","Leirfjellveien 7","TORØD","3135","FÆRDER","3911","Norge","NO","2001-06-02","","false","2000-01-01","","983239218",""
"986698272","MILLA'S HÅRHJØRNE AS","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","96.020","Frisering og annen skjønnhetspleie","","","","","","","true","","","","","","","","","","Eidsvåg","EIDSVÅG I ROMSDAL","6460","MOLDE","1506","Norge","NO","2004-03-18","","false","2004-03-17","","986662359",""
"830759182","STULAND BERTELSEN","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","86.211","Allmenn legetjeneste","","","","","","","false","","","","","","","","","","c/o Tiril Stuland Bertelsen/nStokkaveien 61A","STAVANGER","4024","STAVANGER","1103","Norge","NO","2023-02-02","","false","2023-03-01","","930585009",""
