organisasjonsnummer,navn,organisasjonsform.kode,organisasjonsform.beskrivelse,naeringskode1.kode,naeringskode1.beskrivelse,naeringskode2.kode,naeringskode2.beskrivelse,naeringskode3.kode,naeringskode3.beskrivelse,hjelpeenhetskode.kode,hjelpeenhetskode.beskrivelse,harRegistrertAntallAnsatte,antallAnsatte,hjemmeside,postadresse.adresse,postadresse.poststed,postadresse.postnummer,postadresse.kommune,postadresse.kommunenummer,postadresse.land,postadresse.landkode,beliggenhetsadresse.adresse,beliggenhetsadresse.poststed,beliggenhetsadresse.postnummer,beliggenhetsadresse.kommune,beliggenhetsadresse.kommunenummer,beliggenhetsadresse.land,beliggenhetsadresse.landkode,registreringsdatoIEnhetsregisteret,frivilligMvaRegistrertBeskrivelser,registrertIMvaregisteret,oppstartsdato,datoEierskifte,overordnetEnhet,nedleggelsesdato
"811603902","VITUSAPOTEK KNARVIK","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","47.730","Butikkhandel med apotekvarer","","","","","","","true","10","","","","","","","","","Kvernhusmyrane 5","ISDALSTØ","5914","ALVER","4631","Norge","NO","2013-02-23","","false","2013-05-01","","965336796",""
"811619922","ASKØY KOMMUNE SAMFUNNSMEDISINSK AVD HELSEADMINISTRASJON","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","84.120","Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern","","","","","","","false","","","Klampavikvegen 1","KLEPPESTØ","5300","ASKØY","4627","Norge","NO","Kleppevegen 23A","KLEPPESTØ","5300","ASKØY","4627","Norge","NO","2013-02-26","","false","2013-01-01","2015-01-01","974774577",""
"812008862","EQUINOR ENERGY AS SLEIPNER ØST","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","06.200","Utvinning av naturgass","","","","","","","false","","","Postboks 8500 Forus","STAVANGER","4035","STAVANGER","1103","Norge","NO","","STAVANGER","4020","SOKKELEN SØR FOR 62 GRADER","2311","Norge","NO","2013-05-29","","false","2012-01-01","","990888213",""
"812104772","BOOTS APOTEK LØRENSKOG","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","47.730","Butikkhandel med apotekvarer","","","","","","","true","10","","","","","","","","","Gamleveien 88","LØRENSKOG","1461","LØRENSKOG","3222","Norge","NO","2013-06-22","","false","2013-09-25","","982547822",""
"812165682","OBS LYNGDAL AVD 300","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","47.111","Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler","","","","","","","true","68","","Ganddalsgata 1","SANDNES","4306","SANDNES","1108","Norge","NO","Fiboveien 16","LYNGDAL","4580","LYNGDAL","4225","Norge","NO","2013-07-02","","false","2013-07-01","","966833300",""
"812382632","ASKØY KOMMUNE TRYGGHETSAVDELINGEN DAGSENTER","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","88.102","Dagsentra/aktivitetssentra for eldre og funksjonshemmede","","","","","","","true","34","","Klampavikvegen 1","KLEPPESTØ","5300","ASKØY","4627","Norge","NO","Kleppevegen 23A","KLEPPESTØ","5300","ASKØY","4627","Norge","NO","2013-09-02","","false","2012-11-01","","974774577",""
"812582542","ISS FACILITY SERVICES AS AVD VARD HOVEDKANTINE","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","56.290","Kantiner drevet som selvstendig virksomhet","","","","","","","true","","","","","","","","","","Strømtangvegen 19","BREVIK","3950","PORSGRUNN","4001","Norge","NO","2013-10-14","","false","2013-08-01","","914791723",""
"812706632","JAN-ERIK ROMØREN","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","62.010","Programmeringstjenester","","","","","","","false","","","","","","","","","","Tronderudvegen 4","GOL","3550","GOL","3324","Norge","NO","2013-11-12","","false","2013-01-01","","983556485",""
"812723502","EQUINOR ENERGY AS SIGYN","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","06.100","Utvinning av råolje","","","","","","","false","","","Postboks 60","STAVANGER","4068","STAVANGER","1103","Norge","NO","","","","","","","","2013-11-21","","false","2002-01-01","2017-07-01","990888213",""
"812723782","CIRCLE K NORGE AS AVD 57064 - AUTOMAT VOIEBYEN","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","47.300","Detaljhandel med drivstoff til motorvogner","","","","","","","false","","","Postboks 1176 Sentrum","OSLO","0107","OSLO","0301","Norge","NO","Skonnertveien 2A","KRISTIANSAND S","4624","KRISTIANSAND","4204","Norge","NO","2013-11-21","","false","2005-11-15","","914766451",""
"812723952","CIRCLE K NORGE AS AVD 57027 - AUTOMAT BYRKJELO","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","47.300","Detaljhandel med drivstoff til motorvogner","","","","","","","false","","","Postboks 1176 Sentrum","OSLO","0107","OSLO","0301","Norge","NO","","BYRKJELO","6826","GLOPPEN","4650","Norge","NO","2013-11-21","","false","2005-11-15","","914766451",""
"812724142","CIRCLE K NORGE AS AVD 57015 - AUTOMAT TRONDHEIMSVEIEN","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","47.300","Detaljhandel med drivstoff til motorvogner","","","","","","","false","","","Postboks 1176 Sentrum","OSLO","0107","OSLO","0301","Norge","NO","Trondheimsveien 154","OSLO","0569","OSLO","0301","Norge","NO","2013-11-21","","false","2005-11-15","","914766451",""
"812724282","CIRCLE K NORGE AS AVD 57001 - AUTOMAT DOKKA","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","47.300","Detaljhandel med drivstoff til motorvogner","","","","","","","false","","","Postboks 1176 Sentrum","OSLO","0107","OSLO","0301","Norge","NO","Storgata 44","DOKKA","2870","NORDRE LAND","3448","Norge","NO","2013-11-21","","false","2005-11-15","","914766451",""
"812724312","CIRCLE K NORGE AS AVD 57063 - AUTOMAT BOBY'N","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","47.300","Detaljhandel med drivstoff til motorvogner","","","","","","","false","","","Postboks 1176 Sentrum","OSLO","0107","OSLO","0301","Norge","NO","Kjæran","VERDAL","7650","VERDAL","5038","Norge","NO","2013-11-21","","false","2005-11-15","","914766451",""
"812724452","CIRCLE K NORGE AS AVD 57075 - AUTOMAT TROMSØ LUFTHAVN","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","47.300","Detaljhandel med drivstoff til motorvogner","","","","","","","false","","","Postboks 1176 Sentrum","OSLO","0107","OSLO","0301","Norge","NO","Flyplassvegen 16","TROMSØ","9016","TROMSØ","5501","Norge","NO","2013-11-21","","false","2004-01-01","","914766451",""
"812724592","CIRCLE K NORGE AS AVD 57059 - AUTOMAT SKJEBERG","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","47.300","Detaljhandel med drivstoff til motorvogner","","","","","","","false","","","Postboks 1176 Sentrum","OSLO","0107","OSLO","0301","Norge","NO","Iseveien 9","BORGENHAUGEN","1738","SARPSBORG","3105","Norge","NO","2013-11-21","","false","2005-11-15","","914766451",""
"812728202","COOP OBS KRISTIANSAND AVD BYGG","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","47.521","Butikkhandel med bredt utvalg av jernvarer, fargevarer og andre byggevarer","","","","","","","false","","","Postboks 1614 Lundsiden","KRISTIANSAND S","4688","KRISTIANSAND","4204","Norge","NO","Barstølveien 31","KRISTIANSAND S","4636","KRISTIANSAND","4204","Norge","NO","2013-11-21","","false","2006-01-01","","966833300",""
"812729462","EQUINOR ENERGY AS PL720","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","06.100","Utvinning av råolje","","","","","","","false","","","Postboks 640  Sentrum","STAVANGER","4003","STAVANGER","1103","Norge","NO","","","","","","","","2013-11-21","","false","2013-06-21","2016-11-30","990888213",""
"812730282","SHELL EXPRESS ONSØY","BEDR","Underenhet til næringsdrivende og offentlig forvaltning","47.300","Detaljhandel med drivstoff til motorvogner","","","","","","","false","","","","","","","","","","Saltnesveien 2A","MANSTAD","1626","FREDRIKSTAD","3107","Norge","NO","2013-11-21","","false","2003-01-01","2016-07-01","913285670",""
